context	ending	target_occupation	attractor_1	attractor_2
John lives in Chile, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki
John has a sister and now lives in Chile, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki
John has a sister, played basketball and now lives in Chile, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki
John has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki
Rowan lives in Chile, John lives in Beijing and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris
Rowan has a sister and now lives in Chile, John lives in Beijing and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris
Rowan has a sister, played basketball and now lives in Chile, John lives in Beijing and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris
Joe lives in Chile, John lives in Beijing and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta
Joe has a sister and now lives in Chile, John lives in Beijing and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta
Joe has a sister, played basketball and now lives in Chile, John lives in Beijing and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta
Jack lives in Chile, Sebastian lives in Beijing and John lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Beijing	Warsaw
Jack has a sister and now lives in Chile, Sebastian lives in Beijing and John lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Beijing	Warsaw
Jack has a sister, played basketball and now lives in Chile, Sebastian lives in Beijing and John lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Beijing	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Beijing and John lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Beijing	Warsaw
Joe lives in Chile, Jack lives in Helsinki and John lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Helsinki	Beijing
Joe has a sister and now lives in Chile, Jack lives in Helsinki and John lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Helsinki	Beijing
Joe has a sister, played basketball and now lives in Chile, Jack lives in Helsinki and John lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Helsinki	Beijing
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Helsinki and John lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Helsinki	Beijing
Jack lives in Chile, John lives in Helsinki and Jake lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris
Jack has a sister and now lives in Chile, John lives in Helsinki and Jake lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris
