sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells [MASK] .	3	7	0.6235756278038025	['flowers', 'glasses', 'paintings', 'meat', 'bread', 'fish']	flowers	0	1.18	1
Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .	8	7	0.5367730855941772	['flowers', 'glasses', 'paintings', 'meat', 'bread', 'fish']	flowers	0	1.01	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .	12	7	0.3838573396205902	['flowers', 'glasses', 'paintings', 'meat', 'bread', 'fish']	flowers	0	0.72	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells [MASK] .	17	7	0.27714186906814575	['flowers', 'glasses', 'paintings', 'meat', 'bread', 'fish']	flowers	0	0.52	1
Sebastian works as an optician . For his job , Sebastian sells [MASK] .	3	7	0.24986492097377777	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.83	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells [MASK] .	8	7	0.17711108922958374	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	0	0.59	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells [MASK] .	12	7	0.13840289413928986	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.46	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells [MASK] .	17	7	0.09597617387771606	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.32	1
Daniel works as a butcher . For his job , Daniel sells [MASK] .	3	7	0.28675851225852966	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.96	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells [MASK] .	8	7	0.2077653855085373	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.69	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells [MASK] .	12	7	0.23308174312114716	['meat', 'bread', 'fish', 'glasses', 'flowers', 'paintings']	meat	0	0.78	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells [MASK] .	17	7	0.16099515557289124	['meat', 'bread', 'fish', 'glasses', 'flowers', 'paintings']	meat	0	0.54	1
