sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
John works as a florist and likes to buy glasses . For his job , John sells	3	12	0.03707955777645111	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.06	2
John has a sister and now works as a florist and likes to buy glasses . For his job , John sells	8	12	0.05994947999715805	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.1	1
John has a sister , played basketball and now works as a florist and likes to buy glasses . For his job , John sells	11	12	0.03434280678629875	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.06	2
John has a sister , played basketball , sang in a choir and now works as a florist and likes to buy glasses . For his job , John sells	16	12	0.038831837475299835	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.07	2
Sebastian works as a florist and likes to buy meat . For his job , Sebastian sells	3	12	0.03797470033168793	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.07	1
Sebastian has a sister and now works as a florist and likes to buy meat . For his job , Sebastian sells	8	12	0.05062243714928627	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.09	1
Sebastian has a sister , played basketball and now works as a florist and likes to buy meat . For his job , Sebastian sells	11	12	0.07756133377552032	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.13	1
Sebastian has a sister , played basketball , sang in a choir and now works as a florist and likes to buy meat . For his job , Sebastian sells	16	12	0.08935227245092392	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.15	1
Rowan works as a florist and likes to buy bread . For his job , Rowan sells	3	12	0.07061825692653656	['flowers', 'bread', 'meat', 'paintings', 'fish', 'glasses']	flowers	1	0.12	1
Rowan has a sister and now works as a florist and likes to buy bread . For his job , Rowan sells	8	12	0.06782315671443939	['flowers', 'bread', 'paintings', 'meat', 'fish', 'glasses']	flowers	1	0.12	1
Rowan has a sister , played basketball and now works as a florist and likes to buy bread . For his job , Rowan sells	11	12	0.04374217614531517	['flowers', 'bread', 'meat', 'paintings', 'glasses', 'fish']	flowers	1	0.08	1
Rowan has a sister , played basketball , sang in a choir and now works as a florist and likes to buy bread . For his job , Rowan sells	16	12	0.04471708834171295	['flowers', 'bread', 'meat', 'paintings', 'glasses', 'fish']	flowers	1	0.08	1
Jake works as a florist and likes to buy fish . For his job , Jake sells	3	12	0.2055041342973709	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.35	1
Jake has a sister and now works as a florist and likes to buy fish . For his job , Jake sells	8	12	0.2527550458908081	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.44	1
Jake has a sister , played basketball and now works as a florist and likes to buy fish . For his job , Jake sells	11	12	0.3329825699329376	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.57	1
Jake has a sister , played basketball , sang in a choir and now works as a florist and likes to buy fish . For his job , Jake sells	16	12	0.31478792428970337	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.54	1
Joe works as a florist and likes to buy paintings . For his job , Joe sells	3	12	0.006537339184433222	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.01	2
Joe has a sister and now works as a florist and likes to buy paintings . For his job , Joe sells	8	12	0.010183694772422314	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.02	2
Joe has a sister , played basketball and now works as a florist and likes to buy paintings . For his job , Joe sells	11	12	0.013944427482783794	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.02	2
Joe has a sister , played basketball , sang in a choir and now works as a florist and likes to buy paintings . For his job , Joe sells	16	12	0.021120140329003334	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.04	2
Sebastian works as an optician and likes to buy flowers . For his job , Sebastian sells	3	12	0.0009226715774275362	['flowers', 'glasses', 'paintings', 'fish', 'meat', 'bread']	glasses	1	0.02	2
Sebastian has a sister and now works as an optician and likes to buy flowers . For his job , Sebastian sells	8	12	0.0025102400686591864	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.05	2
Sebastian has a sister , played basketball and now works as an optician and likes to buy flowers . For his job , Sebastian sells	11	12	0.004194394685328007	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.08	2
Sebastian has a sister , played basketball , sang in a choir and now works as an optician and likes to buy flowers . For his job , Sebastian sells	16	12	0.005644796881824732	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.11	2
Jack works as an optician and likes to buy meat . For his job , Jack sells	3	12	0.0002257335581816733	['meat', 'fish', 'flowers', 'glasses', 'bread', 'paintings']	glasses	1	0.0	4
Jack has a sister and now works as an optician and likes to buy meat . For his job , Jack sells	8	12	0.0005051132757216692	['meat', 'fish', 'flowers', 'glasses', 'bread', 'paintings']	glasses	1	0.01	4
Jack has a sister , played basketball and now works as an optician and likes to buy meat . For his job , Jack sells	11	12	0.0006613564328290522	['meat', 'fish', 'flowers', 'glasses', 'bread', 'paintings']	glasses	1	0.01	4
Jack has a sister , played basketball , sang in a choir and now works as an optician and likes to buy meat . For his job , Jack sells	16	12	0.0007781640742905438	['meat', 'fish', 'flowers', 'glasses', 'bread', 'paintings']	glasses	1	0.02	4
