sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
Joe works as a florist and Jake works as an optician . For his job , Joe sells	3	13	0.6136301755905151	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	1.06	1
Joe has a sister and now works as a florist and Jake works as an optician . For his job , Joe sells	8	13	0.32086482644081116	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.55	1
Joe has a sister , played basketball and now works as a florist and Jake works as an optician . For his job , Joe sells	11	13	0.21706143021583557	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.37	1
Joe has a sister , played basketball , sang in a choir and now works as a florist and Jake works as an optician . For his job , Joe sells	16	13	0.19827191531658173	['flowers', 'glasses', 'paintings', 'bread', 'fish', 'meat']	flowers	1	0.34	1
Jack works as a florist and Joe works as a butcher . For his job , Jack sells	3	13	0.49571692943573	['flowers', 'meat', 'bread', 'paintings', 'fish', 'glasses']	flowers	1	0.85	1
Jack has a sister and now works as a florist and Joe works as a butcher . For his job , Jack sells	8	13	0.047808121889829636	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.08	1
Jack has a sister , played basketball and now works as a florist and Joe works as a butcher . For his job , Jack sells	11	13	0.00929314736276865	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.02	2
Jack has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a butcher . For his job , Jack sells	16	13	0.015300017781555653	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.03	2
Jake works as a florist and Joe works as a baker . For his job , Jake sells	3	13	0.3567139208316803	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	1	0.62	1
Jake has a sister and now works as a florist and Joe works as a baker . For his job , Jake sells	8	13	0.1112201139330864	['flowers', 'bread', 'paintings', 'meat', 'fish', 'glasses']	flowers	1	0.19	1
Jake has a sister , played basketball and now works as a florist and Joe works as a baker . For his job , Jake sells	11	13	0.0404055193066597	['flowers', 'bread', 'meat', 'paintings', 'fish', 'glasses']	flowers	1	0.07	1
Jake has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a baker . For his job , Jake sells	16	13	0.03689422830939293	['flowers', 'bread', 'paintings', 'meat', 'fish', 'glasses']	flowers	1	0.06	1
Daniel works as a florist and Joe works as a fisherman . For his job , Daniel sells	3	13	0.6274657845497131	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	1.08	1
Daniel has a sister and now works as a florist and Joe works as a fisherman . For his job , Daniel sells	8	13	0.26251220703125	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.45	1
Daniel has a sister , played basketball and now works as a florist and Joe works as a fisherman . For his job , Daniel sells	11	13	0.2040296345949173	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.35	1
Daniel has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a fisherman . For his job , Daniel sells	16	13	0.17016081511974335	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.29	1
Daniel works as a florist and Joe works as a painter . For his job , Daniel sells	3	13	0.5520384311676025	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.95	1
Daniel has a sister and now works as a florist and Joe works as a painter . For his job , Daniel sells	8	13	0.2033279687166214	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.35	1
Daniel has a sister , played basketball and now works as a florist and Joe works as a painter . For his job , Daniel sells	11	13	0.11343984305858612	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.2	1
Daniel has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a painter . For his job , Daniel sells	16	13	0.0941876694560051	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.16	1
Joe works as an optician and Jack works as a florist . For his job , Joe sells	3	13	0.007286324631422758	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.15	2
Joe has a sister and now works as an optician and Jack works as a florist . For his job , Joe sells	8	13	0.003086860990151763	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.06	2
Joe has a sister , played basketball and now works as an optician and Jack works as a florist . For his job , Joe sells	11	13	0.0016373448306694627	['flowers', 'glasses', 'paintings', 'bread', 'fish', 'meat']	glasses	1	0.03	2
Joe has a sister , played basketball , sang in a choir and now works as an optician and Jack works as a florist . For his job , Joe sells	16	13	0.0017886233981698751	['flowers', 'glasses', 'paintings', 'bread', 'fish', 'meat']	glasses	1	0.04	2
Joe works as an optician and John works as a butcher . For his job , Joe sells	3	13	0.0004844236536882818	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	glasses	1	0.01	5
Joe has a sister and now works as an optician and John works as a butcher . For his job , Joe sells	8	13	0.00011024335253750905	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	glasses	1	0.0	6
Joe has a sister , played basketball and now works as an optician and John works as a butcher . For his job , Joe sells	11	13	6.533425766974688e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.0	5
Joe has a sister , played basketball , sang in a choir and now works as an optician and John works as a butcher . For his job , Joe sells	16	13	8.872678881743923e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.0	5
