sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells <mask> .	3	7	0.9293553829193115	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	0	1.01	1
Jake works as a florist and has a sister . For his job , Jake sells <mask> .	3	11	0.8998915553092957	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	0	0.98	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells <mask> .	3	14	0.8749196529388428	['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']	flowers	0	0.95	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells <mask> .	3	19	0.8886579275131226	['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']	flowers	0	0.97	1
John works as an optician . For his job , John sells <mask> .	3	7	0.407747745513916	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.02	1
John works as an optician and has a sister . For his job , John sells <mask> .	3	11	0.41603827476501465	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.04	1
John works as an optician , has a sister and played basketball . For his job , John sells <mask> .	3	14	0.41931700706481934	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.05	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells <mask> .	3	19	0.40056493878364563	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.0	1
Jack works as a butcher . For his job , Jack sells <mask> .	3	7	0.624885618686676	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	1.01	1
Jack works as a butcher and has a sister . For his job , Jack sells <mask> .	3	11	0.5074596405029297	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.82	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells <mask> .	3	14	0.49196088314056396	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.79	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells <mask> .	3	19	0.5024021863937378	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.81	1
Daniel works as a baker . For his job , Daniel sells <mask> .	3	7	0.1928771585226059	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.02	1
Daniel works as a baker and has a sister . For his job , Daniel sells <mask> .	3	11	0.11018577963113785	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells <mask> .	3	14	0.05655830353498459	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.3	1
