context	ending	target_occupation	attractor_1	attractor_2	attractor_3	attractor_4	attractor_5
John lives in Chile, Jack lives in Beijing, Daniel lives in Helsinki, Joe lives in Paris, Rowan lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta	Warsaw
John has a sister and now lives in Chile, Jack lives in Beijing, Daniel lives in Helsinki, Joe lives in Paris, Rowan lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta	Warsaw
John has a sister, played basketball and now lives in Chile, Jack lives in Beijing, Daniel lives in Helsinki, Joe lives in Paris, Rowan lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta	Warsaw
John has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, Daniel lives in Helsinki, Joe lives in Paris, Rowan lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta	Warsaw
Jake lives in Chile, John lives in Beijing, Daniel lives in Helsinki, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw	Jakarta
Jake has a sister and now lives in Chile, John lives in Beijing, Daniel lives in Helsinki, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in Chile, John lives in Beijing, Daniel lives in Helsinki, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Daniel lives in Helsinki, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw	Jakarta
Joe lives in Chile, Rowan lives in Beijing, Daniel lives in Helsinki, John lives in Jakarta, Jake lives in Paris and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris	Warsaw
Joe has a sister and now lives in Chile, Rowan lives in Beijing, Daniel lives in Helsinki, John lives in Jakarta, Jake lives in Paris and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris	Warsaw
Joe has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, Daniel lives in Helsinki, John lives in Jakarta, Jake lives in Paris and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris	Warsaw
