context	ending	target_occupation	attractor_1	attractor_2	attractor_3	attractor_4
Daniel lives in Chile, Jack lives in Beijing, Joe lives in Helsinki, John lives in Paris and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta
Daniel has a sister and now lives in Chile, Jack lives in Beijing, Joe lives in Helsinki, John lives in Paris and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta
Daniel has a sister, played basketball and now lives in Chile, Jack lives in Beijing, Joe lives in Helsinki, John lives in Paris and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, Joe lives in Helsinki, John lives in Paris and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Jakarta
John lives in Chile, Joe lives in Beijing, Sebastian lives in Helsinki, Daniel lives in Paris and Rowan lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw
John has a sister and now lives in Chile, Joe lives in Beijing, Sebastian lives in Helsinki, Daniel lives in Paris and Rowan lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw
John has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Sebastian lives in Helsinki, Daniel lives in Paris and Rowan lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw
John has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Sebastian lives in Helsinki, Daniel lives in Paris and Rowan lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris	Warsaw
Sebastian lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, John lives in Jakarta and Rowan lives in Paris.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris
Sebastian has a sister and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, John lives in Jakarta and Rowan lives in Paris.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris
Sebastian has a sister, played basketball and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, John lives in Jakarta and Rowan lives in Paris.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, John lives in Jakarta and Rowan lives in Paris.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris
Sebastian lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jake lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw
Sebastian has a sister and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jake lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jake lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jake lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw
Daniel lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, Rowan lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris
Daniel has a sister and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, Rowan lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, Rowan lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, Jake lives in Helsinki, Rowan lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris
Jake lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta
Sebastian lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Jack lives in Helsinki and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta
Sebastian has a sister and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Jack lives in Helsinki and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta
Sebastian has a sister, played basketball and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Jack lives in Helsinki and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Jack lives in Helsinki and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta
Sebastian lives in Chile, Jake lives in Beijing, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw
Sebastian has a sister and now lives in Chile, Jake lives in Beijing, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, Jake lives in Beijing, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw
Jake lives in Chile, Jack lives in Beijing, John lives in Paris, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of Jake's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki
Jake has a sister and now lives in Chile, Jack lives in Beijing, John lives in Paris, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of Jake's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki
Jake has a sister, played basketball and now lives in Chile, Jack lives in Beijing, John lives in Paris, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of Jake's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, John lives in Paris, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of Jake's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki
Sebastian lives in Chile, Jack lives in Beijing, John lives in Paris, Joe lives in Jakarta and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw
Sebastian has a sister and now lives in Chile, Jack lives in Beijing, John lives in Paris, Joe lives in Jakarta and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, Jack lives in Beijing, John lives in Paris, Joe lives in Jakarta and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw
