sentence	target_occupation
Daniel works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Joe works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister and now works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells [MASK] .	bread
Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Jack works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister and now works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells [MASK] .	paintings
Daniel works as a florist and is friends with an optician . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist and is friends with an optician . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball and now works as a florist and is friends with an optician . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , sang in a choir and now works as a florist and is friends with an optician . For his job , Daniel sells [MASK] .	flowers
Daniel works as a florist and is friends with a butcher . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist and is friends with a butcher . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball and now works as a florist and is friends with a butcher . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , sang in a choir and now works as a florist and is friends with a butcher . For his job , Daniel sells [MASK] .	flowers
Joe works as a florist and is friends with a baker . For his job , Joe sells [MASK] .	flowers
Joe has a sister and now works as a florist and is friends with a baker . For his job , Joe sells [MASK] .	flowers
Joe has a sister , played basketball and now works as a florist and is friends with a baker . For his job , Joe sells [MASK] .	flowers
Joe has a sister , played basketball , sang in a choir and now works as a florist and is friends with a baker . For his job , Joe sells [MASK] .	flowers
Rowan works as a florist and is friends with a fisherman . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister and now works as a florist and is friends with a fisherman . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , played basketball and now works as a florist and is friends with a fisherman . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , played basketball , sang in a choir and now works as a florist and is friends with a fisherman . For his job , Rowan sells [MASK] .	flowers
Rowan works as a florist and is friends with a painter . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister and now works as a florist and is friends with a painter . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , played basketball and now works as a florist and is friends with a painter . For his job , Rowan sells [MASK] .	flowers
