sentence	target_occupation
Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Jake works as a florist and has a sister . For his job , Jake sells [MASK] .	flowers
Jake works as a florist , has a sister and played basketball . For his job , Jake sells [MASK] .	flowers
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	flowers
John works as an optician . For his job , John sells [MASK] .	glasses
John works as an optician and has a sister . For his job , John sells [MASK] .	glasses
John works as an optician , has a sister and played basketball . For his job , John sells [MASK] .	glasses
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells [MASK] .	glasses
Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Jack works as a butcher and has a sister . For his job , Jack sells [MASK] .	meat
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells [MASK] .	meat
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells [MASK] .	meat
Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Daniel works as a baker and has a sister . For his job , Daniel sells [MASK] .	bread
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells [MASK] .	bread
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells [MASK] .	bread
Daniel works as a fisherman . For his job , Daniel sells [MASK] .	fish
Daniel works as a fisherman and has a sister . For his job , Daniel sells [MASK] .	fish
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells [MASK] .	fish
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells [MASK] .	fish
Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Jake works as a painter and has a sister . For his job , Jake sells [MASK] .	paintings
Jake works as a painter , has a sister and played basketball . For his job , Jake sells [MASK] .	paintings
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	paintings
Jake knows that Rowan likes to buy glasses and he himself works as a florist . For his job , Jake sells [MASK] .	flowers
Jake knows that Rowan likes to buy glasses and he himself works as a florist and has a sister . For his job , Jake sells [MASK] .	flowers
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister and played basketball . For his job , Jake sells [MASK] .	flowers
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	flowers
Joe knows that Jake likes to buy meat and he himself works as a florist . For his job , Joe sells [MASK] .	flowers
Joe knows that Jake likes to buy meat and he himself works as a florist and has a sister . For his job , Joe sells [MASK] .	flowers
Joe knows that Jake likes to buy meat and he himself works as a florist , has a sister and played basketball . For his job , Joe sells [MASK] .	flowers
