sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells <mask> .	3	7	0.9506579637527466	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	0	1.03	1
Daniel has a sister and now works as a florist . For his job , Daniel sells <mask> .	8	7	0.8644782304763794	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	0	0.94	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells <mask> .	12	7	0.8362898230552673	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	0	0.91	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells <mask> .	17	7	0.857721209526062	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	0	0.93	1
Sebastian works as an optician . For his job , Sebastian sells <mask> .	3	7	0.36185720562934875	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	0.9	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells <mask> .	8	7	0.4022313356399536	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.01	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells <mask> .	12	7	0.4072803854942322	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.02	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells <mask> .	17	7	0.41375023126602173	['glasses', 'fish', 'flowers', 'paintings', 'bread', 'meat']	glasses	0	1.03	1
Daniel works as a butcher . For his job , Daniel sells <mask> .	3	7	0.6828205585479736	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	1.1	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells <mask> .	8	7	0.43772077560424805	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.71	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells <mask> .	12	7	0.366312175989151	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.59	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells <mask> .	17	7	0.37244299054145813	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	0.6	1
Joe works as a baker . For his job , Joe sells <mask> .	3	7	0.20280267298221588	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	bread	0	1.07	1
Joe has a sister and now works as a baker . For his job , Joe sells <mask> .	8	7	0.09374210983514786	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.49	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells <mask> .	12	7	0.09414509683847427	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.5	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells <mask> .	17	7	0.08340858668088913	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.44	1
Rowan works as a fisherman . For his job , Rowan sells <mask> .	3	7	0.4655296206474304	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.79	1
