sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells <mask> .	3	7	0.3903907835483551	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.15	1
Daniel has a sister and now works as a florist . For his job , Daniel sells <mask> .	8	7	0.3636464476585388	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.07	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells <mask> .	12	7	0.2973017394542694	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.87	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells <mask> .	17	7	0.33090922236442566	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.97	1
Sebastian works as an optician . For his job , Sebastian sells <mask> .	3	7	0.10490547865629196	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.87	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells <mask> .	8	7	0.04624485969543457	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.39	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells <mask> .	12	7	0.032197024673223495	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	0	0.27	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells <mask> .	17	7	0.05108857527375221	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	0	0.43	1
Daniel works as a butcher . For his job , Daniel sells <mask> .	3	7	0.3947668671607971	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	1.13	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells <mask> .	8	7	0.24896705150604248	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.71	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells <mask> .	12	7	0.21602116525173187	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.62	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells <mask> .	17	7	0.2632899880409241	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.75	1
Joe works as a baker . For his job , Joe sells <mask> .	3	7	0.15593163669109344	['bread', 'meat', 'flowers', 'fish', 'paintings', 'glasses']	bread	0	0.82	1
Joe has a sister and now works as a baker . For his job , Joe sells <mask> .	8	7	0.12067955732345581	['bread', 'meat', 'flowers', 'fish', 'paintings', 'glasses']	bread	0	0.64	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells <mask> .	12	7	0.12815523147583008	['bread', 'meat', 'flowers', 'fish', 'paintings', 'glasses']	bread	0	0.67	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells <mask> .	17	7	0.16721616685390472	['bread', 'meat', 'flowers', 'fish', 'paintings', 'glasses']	bread	0	0.88	1
Rowan works as a fisherman . For his job , Rowan sells <mask> .	3	7	0.24031496047973633	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.96	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells <mask> .	8	7	0.27815183997154236	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.11	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells <mask> .	12	7	0.25023043155670166	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.0	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells <mask> .	17	7	0.2666935324668884	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.07	1
Jack works as a painter . For his job , Jack sells <mask> .	3	7	0.15219786763191223	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.27	1
Jack has a sister and now works as a painter . For his job , Jack sells <mask> .	8	7	0.1318100392818451	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.1	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells <mask> .	12	7	0.08451174944639206	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.7	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells <mask> .	17	7	0.09662909805774689	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.81	1
Joe works as a florist and Jake works as an optician . For his job , Joe sells <mask> .	3	13	0.07156156748533249	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.21	1
Joe has a sister and now works as a florist and Jake works as an optician . For his job , Joe sells <mask> .	8	13	0.040800709277391434	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.12	1
Joe has a sister , played basketball and now works as a florist and Jake works as an optician . For his job , Joe sells <mask> .	11	13	0.030362680554389954	['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']	flowers	1	0.09	1
