sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
John works as a florist and Jack writes poetry . For his job , John sells	3	11	0.4443059265613556	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.77	1
John has a sister and now works as a florist and Jack writes poetry . For his job , John sells	8	11	0.1957218497991562	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.34	1
John has a sister , sang in a choir and now works as a florist and Jack writes poetry . For his job , John sells	13	11	0.10510514676570892	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.18	1
John has a sister , sang in a choir , fell down on Tuesday and now works as a florist and Jack writes poetry . For his job , John sells	18	11	0.13450181484222412	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.23	1
Sebastian works as a florist and Rowan drives a car . For his job , Sebastian sells	3	12	0.5910913348197937	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	1.02	1
Sebastian has a sister and now works as a florist and Rowan drives a car . For his job , Sebastian sells	8	12	0.4359082877635956	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.75	1
Sebastian has a sister , sang in a choir and now works as a florist and Rowan drives a car . For his job , Sebastian sells	13	12	0.21696066856384277	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.37	1
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a florist and Rowan drives a car . For his job , Sebastian sells	18	12	0.20414498448371887	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.35	1
Sebastian works as a florist and John slept late last week . For his job , Sebastian sells	3	13	0.5292120575904846	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.91	1
Sebastian has a sister and now works as a florist and John slept late last week . For his job , Sebastian sells	8	13	0.47144371271133423	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.81	1
Sebastian has a sister , sang in a choir and now works as a florist and John slept late last week . For his job , Sebastian sells	13	13	0.24791055917739868	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.43	1
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a florist and John slept late last week . For his job , Sebastian sells	18	13	0.25539228320121765	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.44	1
Jake works as a florist and Joe sits by the lake . For his job , Jake sells	3	13	0.5171600580215454	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.89	1
Jake has a sister and now works as a florist and Joe sits by the lake . For his job , Jake sells	8	13	0.3333682417869568	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.57	1
Jake has a sister , sang in a choir and now works as a florist and Joe sits by the lake . For his job , Jake sells	13	13	0.15330471098423004	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.26	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and Joe sits by the lake . For his job , Jake sells	18	13	0.17642419040203094	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.3	1
Sebastian works as a florist and Daniel has a pet snake . For his job , Sebastian sells	3	13	0.506894052028656	['flowers', 'paintings', 'bread', 'fish', 'meat', 'glasses']	flowers	1	0.87	1
Sebastian has a sister and now works as a florist and Daniel has a pet snake . For his job , Sebastian sells	8	13	0.385026752948761	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.66	1
Sebastian has a sister , sang in a choir and now works as a florist and Daniel has a pet snake . For his job , Sebastian sells	13	13	0.18999674916267395	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.33	1
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a florist and Daniel has a pet snake . For his job , Sebastian sells	18	13	0.2316262125968933	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.4	1
John works as an optician and Daniel writes poetry . For his job , John sells	3	11	0.018654482439160347	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.37	1
John has a sister and now works as an optician and Daniel writes poetry . For his job , John sells	8	11	0.005014694295823574	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.1	2
John has a sister , sang in a choir and now works as an optician and Daniel writes poetry . For his job , John sells	13	11	0.0032611610367894173	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.07	2
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and Daniel writes poetry . For his job , John sells	18	11	0.0072112781926989555	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.14	2
Daniel works as an optician and Sebastian drives a car . For his job , Daniel sells	3	12	0.02284943498671055	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.46	1
Daniel has a sister and now works as an optician and Sebastian drives a car . For his job , Daniel sells	8	12	0.006090118549764156	['flowers', 'glasses', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.12	2
Daniel has a sister , sang in a choir and now works as an optician and Sebastian drives a car . For his job , Daniel sells	13	12	0.004176536574959755	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	glasses	1	0.08	2
