sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.38423413038253784	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	1.01	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.35389244556427	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.93	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.26531556248664856	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.7	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.20328930020332336	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.53	1
John works as an optician . For his job , John sells	3	7	0.0135278832167387	['glasses', 'paintings', 'flowers', 'fish', 'meat', 'bread']	glasses	0	1.35	1
John works as an optician and has a sister . For his job , John sells	3	11	0.009272528812289238	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.93	1
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.007113554514944553	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.71	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.004967693705111742	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.5	1
Jack works as a butcher . For his job , Jack sells	3	7	0.13517709076404572	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.97	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.08920880407094955	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.64	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.05721718817949295	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.41	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.04304840788245201	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.31	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.10724097490310669	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.07	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.10011360049247742	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.0	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.05218416079878807	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.04969015344977379	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.5	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.1433691680431366	['fish', 'bread', 'meat', 'flowers', 'glasses', 'paintings']	fish	0	1.02	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.16840218007564545	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	1.2	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.10379459708929062	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	0.74	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.08880586922168732	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	0.63	1
Jake works as a painter . For his job , Jake sells	3	7	0.06541252136230469	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.93	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.06999633461236954	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.0	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.05355403572320938	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	0.77	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.05082213506102562	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	0.73	1
Jake knows that Rowan likes to buy glasses and he himself works as a florist . For his job , Jake sells	13	7	0.0019428652012720704	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.0024471066426485777	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.001410408760420978	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.0	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	13	19	0.001305499579757452	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.0	2
Joe knows that Jake likes to buy meat and he himself works as a florist . For his job , Joe sells	13	7	0.004077791236341	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.01	3
Joe knows that Jake likes to buy meat and he himself works as a florist and has a sister . For his job , Joe sells	13	11	0.004012534860521555	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.01	3
Joe knows that Jake likes to buy meat and he himself works as a florist , has a sister and played basketball . For his job , Joe sells	13	14	0.0023488220758736134	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.01	3
Joe knows that Jake likes to buy meat and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Joe sells	13	19	0.0019864917267113924	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.01	3
Jake knows that John likes to buy bread and he himself works as a florist . For his job , Jake sells	13	7	0.011831731535494328	['bread', 'flowers', 'fish', 'meat', 'glasses', 'paintings']	flowers	1	0.03	2
Jake knows that John likes to buy bread and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.01159458328038454	['bread', 'flowers', 'fish', 'meat', 'glasses', 'paintings']	flowers	1	0.03	2
Jake knows that John likes to buy bread and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.006374748423695564	['bread', 'flowers', 'fish', 'meat', 'glasses', 'paintings']	flowers	1	0.02	2
Jake knows that John likes to buy bread and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	13	19	0.005379380192607641	['bread', 'flowers', 'fish', 'meat', 'glasses', 'paintings']	flowers	1	0.01	2
Jake knows that Jack likes to buy fish and he himself works as a florist . For his job , Jake sells	13	7	0.007727412041276693	['fish', 'flowers', 'bread', 'glasses', 'meat', 'paintings']	flowers	1	0.02	2
Jake knows that Jack likes to buy fish and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.009752683341503143	['fish', 'flowers', 'bread', 'meat', 'glasses', 'paintings']	flowers	1	0.03	2
Jake knows that Jack likes to buy fish and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.006620877888053656	['fish', 'flowers', 'bread', 'glasses', 'meat', 'paintings']	flowers	1	0.02	2
