sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.7850541472434998	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	0	0.99	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.7119461297988892	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.9	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.6755427122116089	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.86	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.621961236000061	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	0	0.79	1
John works as an optician . For his job , John sells	3	7	0.0654144436120987	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.93	1
John works as an optician and has a sister . For his job , John sells	3	11	0.03325265273451805	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.48	1
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.08275395631790161	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	1.18	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.06721337139606476	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.96	1
Jack works as a butcher . For his job , Jack sells	3	7	0.2745477557182312	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	meat	0	1.02	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.2781473696231842	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	meat	0	1.03	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.26356273889541626	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	meat	0	0.98	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.2225538194179535	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	meat	0	0.82	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.07666850090026855	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.96	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.052047405391931534	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.65	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.04889589548110962	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.61	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.03843604773283005	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.48	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.23198704421520233	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.01	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.248112753033638	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	1.08	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.22410570085048676	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.97	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.18216921389102936	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.79	1
Jake works as a painter . For his job , Jake sells	3	7	0.1940782517194748	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	1.02	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.20205843448638916	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	1.06	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.170614093542099	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	0.9	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.1406099945306778	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	0.74	1
Sebastian likes to buy glasses and works as a florist . For his job , Sebastian sells	8	7	0.42610931396484375	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.54	1
Sebastian likes to buy glasses and works as a florist and has a sister . For his job , Sebastian sells	8	11	0.2456127256155014	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.31	1
