context	ending	target_occupation	attractor_1	attractor_2	attractor_3
John lives in Chile, Joe lives in Beijing, Jake lives in Helsinki and Daniel lives in Paris.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris
John has a sister and now lives in Chile, Joe lives in Beijing, Jake lives in Helsinki and Daniel lives in Paris.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris
John has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Jake lives in Helsinki and Daniel lives in Paris.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris
John has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Jake lives in Helsinki and Daniel lives in Paris.	The capital of John's country is [MASK].	Santiago	Beijing	Helsinki	Paris
Daniel lives in Chile, Sebastian lives in Beijing, Jack lives in Helsinki and Jake lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta
Daniel has a sister and now lives in Chile, Sebastian lives in Beijing, Jack lives in Helsinki and Jake lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta
Daniel has a sister, played basketball and now lives in Chile, Sebastian lives in Beijing, Jack lives in Helsinki and Jake lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Beijing, Jack lives in Helsinki and Jake lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta
Daniel lives in Chile, John lives in Beijing, Jack lives in Helsinki and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw
Daniel has a sister and now lives in Chile, John lives in Beijing, Jack lives in Helsinki and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw
Daniel has a sister, played basketball and now lives in Chile, John lives in Beijing, Jack lives in Helsinki and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Jack lives in Helsinki and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw
Rowan lives in Chile, Jake lives in Beijing, Joe lives in Paris and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki
Rowan has a sister and now lives in Chile, Jake lives in Beijing, Joe lives in Paris and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki
Rowan has a sister, played basketball and now lives in Chile, Jake lives in Beijing, Joe lives in Paris and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, Joe lives in Paris and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki
Sebastian lives in Chile, Daniel lives in Beijing, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta
Sebastian has a sister and now lives in Chile, Daniel lives in Beijing, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta
Sebastian has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Jakarta
Rowan lives in Chile, Daniel lives in Beijing, Jack lives in Paris and John lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Warsaw
Rowan has a sister and now lives in Chile, Daniel lives in Beijing, Jack lives in Paris and John lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Warsaw
Rowan has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Jack lives in Paris and John lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Jack lives in Paris and John lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Warsaw
Rowan lives in Chile, Daniel lives in Beijing, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki
Rowan has a sister and now lives in Chile, Daniel lives in Beijing, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki
Rowan has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki
Daniel lives in Chile, Joe lives in Beijing, Sebastian lives in Jakarta and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Paris
Daniel has a sister and now lives in Chile, Joe lives in Beijing, Sebastian lives in Jakarta and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Paris
Daniel has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Sebastian lives in Jakarta and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Sebastian lives in Jakarta and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Paris
John lives in Chile, Joe lives in Beijing, Jack lives in Jakarta and Jake lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw
John has a sister and now lives in Chile, Joe lives in Beijing, Jack lives in Jakarta and Jake lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw
John has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Jack lives in Jakarta and Jake lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw
John has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Jack lives in Jakarta and Jake lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw
Joe lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw and Jack lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki
Joe has a sister and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw and Jack lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki
Joe has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw and Jack lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw and Jack lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki
Jake lives in Chile, Daniel lives in Beijing, Sebastian lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris
Jake has a sister and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris
Jake has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris
Jake lives in Chile, Jack lives in Beijing, John lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta
Jake has a sister and now lives in Chile, Jack lives in Beijing, John lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in Chile, Jack lives in Beijing, John lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, John lives in Warsaw and Sebastian lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta
Jake lives in Chile, Rowan lives in Helsinki, Joe lives in Beijing and Sebastian lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris
Jake has a sister and now lives in Chile, Rowan lives in Helsinki, Joe lives in Beijing and Sebastian lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris
Jake has a sister, played basketball and now lives in Chile, Rowan lives in Helsinki, Joe lives in Beijing and Sebastian lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Helsinki, Joe lives in Beijing and Sebastian lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris
Daniel lives in Chile, Sebastian lives in Helsinki, Joe lives in Beijing and John lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta
Daniel has a sister and now lives in Chile, Sebastian lives in Helsinki, Joe lives in Beijing and John lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta
Daniel has a sister, played basketball and now lives in Chile, Sebastian lives in Helsinki, Joe lives in Beijing and John lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta
