sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.5751107931137085	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.99	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.5862120985984802	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	1.01	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.3864717483520508	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.67	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.3775227665901184	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.65	1
John works as an optician . For his job , John sells	3	7	0.05468316748738289	['glasses', 'fish', 'flowers', 'paintings', 'meat', 'bread']	glasses	0	1.09	1
John works as an optician and has a sister . For his job , John sells	3	11	0.03018341399729252	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.6	1
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.017325138673186302	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.35	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.01885133609175682	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Jack works as a butcher . For his job , Jack sells	3	7	0.2091406285762787	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.05	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.1656099110841751	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.83	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.17036601901054382	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.85	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.15025295317173004	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.75	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.08058374375104904	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.01	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.059204068034887314	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.74	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.05937394127249718	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.74	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.05169882997870445	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.65	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.16565406322479248	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.97	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.2392648607492447	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	1.41	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.19756841659545898	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	1.16	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.15779581665992737	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.93	1
Jake works as a painter . For his job , Jake sells	3	7	0.09446859359741211	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.05	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.1088012307882309	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.21	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.07231651246547699	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	0.8	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.06060585379600525	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	0.67	1
Jake knows that Rowan likes to buy glasses and he himself works as a florist . For his job , Jake sells	13	7	0.26932501792907715	['flowers', 'glasses', 'paintings', 'bread', 'fish', 'meat']	flowers	1	0.46	1
Jake knows that Rowan likes to buy glasses and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.25978684425354004	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.45	1
