sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells [MASK] .	3	7	0.1588592380285263	['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']	flowers	0	0.99	1
Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .	8	7	0.10943269729614258	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	0	0.68	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .	12	7	0.02243509702384472	['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']	flowers	0	0.14	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells [MASK] .	17	7	0.010210121981799603	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.06	1
Sebastian works as an optician . For his job , Sebastian sells [MASK] .	3	7	0.04909932613372803	['glasses', 'paintings', 'fish', 'flowers', 'bread', 'meat']	glasses	0	0.98	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells [MASK] .	8	7	0.04068936035037041	['glasses', 'paintings', 'fish', 'flowers', 'bread', 'meat']	glasses	0	0.81	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells [MASK] .	12	7	0.00525307422503829	['glasses', 'paintings', 'flowers', 'fish', 'bread', 'meat']	glasses	0	0.11	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells [MASK] .	17	7	0.0020800891797989607	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	0	0.04	3
Daniel works as a butcher . For his job , Daniel sells [MASK] .	3	7	0.0993143618106842	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.99	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells [MASK] .	8	7	0.05828896909952164	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.58	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells [MASK] .	12	7	0.030754419043660164	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.31	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells [MASK] .	17	7	0.016253303736448288	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.16	1
Joe works as a baker . For his job , Joe sells [MASK] .	3	7	0.04563552886247635	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.91	1
Joe has a sister and now works as a baker . For his job , Joe sells [MASK] .	8	7	0.03386096656322479	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.68	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells [MASK] .	12	7	0.029485518112778664	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.59	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells [MASK] .	17	7	0.018319139257073402	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.37	1
Rowan works as a fisherman . For his job , Rowan sells [MASK] .	3	7	0.38498497009277344	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	1.01	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells [MASK] .	8	7	0.23664462566375732	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.62	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells [MASK] .	12	7	0.09110806882381439	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.24	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells [MASK] .	17	7	0.040531933307647705	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.11	1
Jack works as a painter . For his job , Jack sells [MASK] .	3	7	0.21074099838733673	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
Jack has a sister and now works as a painter . For his job , Jack sells [MASK] .	8	7	0.1472015231847763	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	0.7	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells [MASK] .	12	7	0.051087550818920135	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	0.24	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells [MASK] .	17	7	0.02857762761414051	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	0.14	1
Joe works as a florist and Jake works as an optician . For his job , Joe sells [MASK] .	3	13	0.010146571323275566	['flowers', 'fish', 'glasses', 'paintings', 'meat', 'bread']	flowers	1	0.06	1
Joe has a sister and now works as a florist and Jake works as an optician . For his job , Joe sells [MASK] .	8	13	0.007864768616855145	['flowers', 'fish', 'glasses', 'paintings', 'meat', 'bread']	flowers	1	0.05	1
Joe has a sister , played basketball and now works as a florist and Jake works as an optician . For his job , Joe sells [MASK] .	11	13	0.004130978602916002	['flowers', 'fish', 'glasses', 'paintings', 'bread', 'meat']	flowers	1	0.03	1
Joe has a sister , played basketball , sang in a choir and now works as a florist and Jake works as an optician . For his job , Joe sells [MASK] .	16	13	0.002227894961833954	['fish', 'flowers', 'paintings', 'glasses', 'meat', 'bread']	flowers	1	0.01	2
Jack works as a florist and Joe works as a butcher . For his job , Jack sells [MASK] .	3	13	0.012942168861627579	['fish', 'flowers', 'meat', 'bread', 'paintings', 'glasses']	flowers	1	0.08	2
Jack has a sister and now works as a florist and Joe works as a butcher . For his job , Jack sells [MASK] .	8	13	0.01047723088413477	['fish', 'flowers', 'meat', 'bread', 'paintings', 'glasses']	flowers	1	0.07	2
Jack has a sister , played basketball and now works as a florist and Joe works as a butcher . For his job , Jack sells [MASK] .	11	13	0.0054755681194365025	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	flowers	1	0.03	4
Jack has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a butcher . For his job , Jack sells [MASK] .	16	13	0.0030083595775067806	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	flowers	1	0.02	4
Jake works as a florist and Joe works as a baker . For his job , Jake sells [MASK] .	3	13	0.0169134009629488	['flowers', 'fish', 'meat', 'bread', 'paintings', 'glasses']	flowers	1	0.11	1
Jake has a sister and now works as a florist and Joe works as a baker . For his job , Jake sells [MASK] .	8	13	0.015755362808704376	['flowers', 'fish', 'meat', 'bread', 'paintings', 'glasses']	flowers	1	0.1	1
Jake has a sister , played basketball and now works as a florist and Joe works as a baker . For his job , Jake sells [MASK] .	11	13	0.008465465158224106	['flowers', 'fish', 'bread', 'meat', 'paintings', 'glasses']	flowers	1	0.05	1
Jake has a sister , played basketball , sang in a choir and now works as a florist and Joe works as a baker . For his job , Jake sells [MASK] .	16	13	0.004866288974881172	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	flowers	1	0.03	3
Daniel works as a florist and Joe works as a fisherman . For his job , Daniel sells [MASK] .	3	13	0.009800614789128304	['fish', 'flowers', 'meat', 'paintings', 'bread', 'glasses']	flowers	1	0.06	2
Daniel has a sister and now works as a florist and Joe works as a fisherman . For his job , Daniel sells [MASK] .	8	13	0.008509480394423008	['fish', 'flowers', 'meat', 'paintings', 'bread', 'glasses']	flowers	1	0.05	2
