sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.38423413038253784	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	1.01	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.35389244556427	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.93	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.26531556248664856	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.7	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.20328930020332336	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.53	1
John works as an optician . For his job , John sells	3	7	0.0135278832167387	['glasses', 'paintings', 'flowers', 'fish', 'meat', 'bread']	glasses	0	1.35	1
John works as an optician and has a sister . For his job , John sells	3	11	0.009272528812289238	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.93	1
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.007113554514944553	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.71	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.004967693705111742	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.5	1
Jack works as a butcher . For his job , Jack sells	3	7	0.13517709076404572	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.97	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.08920880407094955	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.64	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.05721718817949295	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.41	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.04304840788245201	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.31	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.10724097490310669	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.07	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.10011360049247742	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	1.0	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.05218416079878807	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.04969015344977379	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.5	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.1433691680431366	['fish', 'bread', 'meat', 'flowers', 'glasses', 'paintings']	fish	0	1.02	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.16840218007564545	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	1.2	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.10379459708929062	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	0.74	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.08880586922168732	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	0.63	1
Jake works as a painter . For his job , Jake sells	3	7	0.06541252136230469	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.93	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.06999633461236954	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.0	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.05355403572320938	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	0.77	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.05082213506102562	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	0.73	1
Sebastian likes to buy glasses and works as a florist . For his job , Sebastian sells	8	7	0.0067282491363584995	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.02	2
Sebastian likes to buy glasses and works as a florist and has a sister . For his job , Sebastian sells	8	11	0.01210640650242567	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.03	2
Sebastian likes to buy glasses and works as a florist , has a sister and played basketball . For his job , Sebastian sells	8	14	0.004042645450681448	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
Sebastian likes to buy glasses and works as a florist , has a sister , played basketball and sang in a choir . For his job , Sebastian sells	8	19	0.0027575907297432423	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
Rowan likes to buy meat and works as a florist . For his job , Rowan sells	8	7	0.0061112684197723866	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.02	3
Rowan likes to buy meat and works as a florist and has a sister . For his job , Rowan sells	8	11	0.009996360167860985	['meat', 'flowers', 'fish', 'bread', 'glasses', 'paintings']	flowers	1	0.03	2
Rowan likes to buy meat and works as a florist , has a sister and played basketball . For his job , Rowan sells	8	14	0.004796466324478388	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	flowers	1	0.01	3
Rowan likes to buy meat and works as a florist , has a sister , played basketball and sang in a choir . For his job , Rowan sells	8	19	0.0032912641763687134	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	flowers	1	0.01	3
Rowan likes to buy bread and works as a florist . For his job , Rowan sells	8	7	0.025426216423511505	['bread', 'flowers', 'fish', 'meat', 'glasses', 'paintings']	flowers	1	0.07	2
Rowan likes to buy bread and works as a florist and has a sister . For his job , Rowan sells	8	11	0.03496275469660759	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.09	2
Rowan likes to buy bread and works as a florist , has a sister and played basketball . For his job , Rowan sells	8	14	0.01443150732666254	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.04	2
Rowan likes to buy bread and works as a florist , has a sister , played basketball and sang in a choir . For his job , Rowan sells	8	19	0.010576517321169376	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.03	2
Jack likes to buy fish and works as a florist . For his job , Jack sells	8	7	0.011335666291415691	['fish', 'flowers', 'bread', 'glasses', 'meat', 'paintings']	flowers	1	0.03	2
Jack likes to buy fish and works as a florist and has a sister . For his job , Jack sells	8	11	0.02180454693734646	['fish', 'flowers', 'bread', 'paintings', 'meat', 'glasses']	flowers	1	0.06	2
Jack likes to buy fish and works as a florist , has a sister and played basketball . For his job , Jack sells	8	14	0.012581181712448597	['fish', 'flowers', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.03	2
Jack likes to buy fish and works as a florist , has a sister , played basketball and sang in a choir . For his job , Jack sells	8	19	0.00799573678523302	['fish', 'flowers', 'paintings', 'meat', 'bread', 'glasses']	flowers	1	0.02	2
