sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.7815995216369629	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	0	0.99	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.6613631248474121	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.84	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.5721153616905212	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.72	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.5828092098236084	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.74	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0609615258872509	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.87	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.02381305769085884	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.34	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.027485137805342674	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.39	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.042679592967033386	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.61	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.2696213126182556	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.0	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.2137855440378189	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.79	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.16469889879226685	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.61	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16350425779819489	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.61	1
Joe works as a baker . For his job , Joe sells	3	7	0.06633694469928741	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.83	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.02706279419362545	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.34	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.020454220473766327	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.26	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.022756479680538177	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.28	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.2134746015071869	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.93	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.2608500123023987	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	1.13	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.16284893453121185	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.71	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.17079295217990875	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.74	1
Jack works as a painter . For his job , Jack sells	3	7	0.20936939120292664	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	1.1	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.19942720234394073	['paintings', 'flowers', 'fish', 'bread', 'meat', 'glasses']	paintings	0	1.05	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.15743578970432281	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	0.83	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.11791715025901794	['paintings', 'flowers', 'fish', 'bread', 'meat', 'glasses']	paintings	0	0.62	1
Jake works as a florist and writes poetry . For his job , Jake sells	3	10	0.6162205934524536	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.78	1
Jake has a sister and now works as a works as a florist and writes poetry . For his job , Jake sells	11	10	0.37085649371147156	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.47	1
Jake has a sister , sang in a choir and now works as a florist and writes poetry . For his job , Jake sells	13	10	0.16755817830562592	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.21	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and writes poetry . For his job , Jake sells	18	10	0.29362815618515015	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.37	1
Jake works as a florist and drives a car . For his job , Jake sells	3	11	0.719795286655426	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	1	0.91	1
Jake has a sister and now works as a works as a florist and drives a car . For his job , Jake sells	11	11	0.5572988390922546	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.71	1
Jake has a sister , sang in a choir and now works as a florist and drives a car . For his job , Jake sells	13	11	0.31088584661483765	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.39	1
