sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells [MASK] .	3	7	0.21353109180927277	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	0	1.33	1
Jake works as a florist and has a sister . For his job , Jake sells [MASK] .	3	11	0.08728843182325363	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	0	0.55	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells [MASK] .	3	14	0.016931315883994102	['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']	flowers	0	0.11	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	3	19	0.0061783925630152225	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	0	0.04	1
John works as an optician . For his job , John sells [MASK] .	3	7	0.046241387724876404	['glasses', 'fish', 'paintings', 'flowers', 'bread', 'meat']	glasses	0	0.92	1
John works as an optician and has a sister . For his job , John sells [MASK] .	3	11	0.03526337444782257	['glasses', 'fish', 'paintings', 'flowers', 'bread', 'meat']	glasses	0	0.71	1
John works as an optician , has a sister and played basketball . For his job , John sells [MASK] .	3	14	0.0043660798110067844	['fish', 'glasses', 'paintings', 'flowers', 'bread', 'meat']	glasses	0	0.09	2
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells [MASK] .	3	19	0.002202026778832078	['fish', 'glasses', 'paintings', 'flowers', 'meat', 'bread']	glasses	0	0.04	2
Jack works as a butcher . For his job , Jack sells [MASK] .	3	7	0.10480139404535294	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	1.05	1
Jack works as a butcher and has a sister . For his job , Jack sells [MASK] .	3	11	0.03558969497680664	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.36	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells [MASK] .	3	14	0.006783764343708754	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.07	2
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells [MASK] .	3	19	0.004371891729533672	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.04	2
Daniel works as a baker . For his job , Daniel sells [MASK] .	3	7	0.06527912616729736	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	1.31	1
Daniel works as a baker and has a sister . For his job , Daniel sells [MASK] .	3	11	0.04246697574853897	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.85	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells [MASK] .	3	14	0.008953078649938107	['bread', 'fish', 'meat', 'flowers', 'paintings', 'glasses']	bread	0	0.18	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells [MASK] .	3	19	0.004346845671534538	['bread', 'fish', 'flowers', 'meat', 'paintings', 'glasses']	bread	0	0.09	1
Daniel works as a fisherman . For his job , Daniel sells [MASK] .	3	7	0.46110451221466064	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.21	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells [MASK] .	3	11	0.22332945466041565	['fish', 'meat', 'bread', 'paintings', 'flowers', 'glasses']	fish	0	0.59	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells [MASK] .	3	14	0.031651418656110764	['fish', 'bread', 'meat', 'flowers', 'paintings', 'glasses']	fish	0	0.08	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells [MASK] .	3	19	0.017033273354172707	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.04	1
Jake works as a painter . For his job , Jake sells [MASK] .	3	7	0.2092040479183197	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	1.0	1
Jake works as a painter and has a sister . For his job , Jake sells [MASK] .	3	11	0.08615078032016754	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	0.41	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells [MASK] .	3	14	0.008839684538543224	['paintings', 'fish', 'flowers', 'meat', 'bread', 'glasses']	paintings	0	0.04	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	3	19	0.00698708463460207	['paintings', 'fish', 'flowers', 'meat', 'bread', 'glasses']	paintings	0	0.03	1
Sebastian likes to buy glasses and works as a florist . For his job , Sebastian sells [MASK] .	8	7	0.021435119211673737	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.13	2
Sebastian likes to buy glasses and works as a florist and has a sister . For his job , Sebastian sells [MASK] .	8	11	0.018080372363328934	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.11	2
Sebastian likes to buy glasses and works as a florist , has a sister and played basketball . For his job , Sebastian sells [MASK] .	8	14	0.014491367153823376	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.09	2
Sebastian likes to buy glasses and works as a florist , has a sister , played basketball and sang in a choir . For his job , Sebastian sells [MASK] .	8	19	0.008679495193064213	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.05	2
Rowan likes to buy meat and works as a florist . For his job , Rowan sells [MASK] .	8	7	0.02233106642961502	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	flowers	1	0.14	3
Rowan likes to buy meat and works as a florist and has a sister . For his job , Rowan sells [MASK] .	8	11	0.014520357362926006	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	flowers	1	0.09	3
Rowan likes to buy meat and works as a florist , has a sister and played basketball . For his job , Rowan sells [MASK] .	8	14	0.007928485982120037	['meat', 'fish', 'flowers', 'bread', 'paintings', 'glasses']	flowers	1	0.05	3
Rowan likes to buy meat and works as a florist , has a sister , played basketball and sang in a choir . For his job , Rowan sells [MASK] .	8	19	0.004133124370127916	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	flowers	1	0.03	4
