sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.7815995216369629	['flowers', 'bread', 'paintings', 'fish', 'glasses', 'meat']	flowers	0	0.99	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.6613631248474121	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.84	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.5721153616905212	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.72	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.5828092098236084	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.74	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0609615258872509	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.87	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.02381305769085884	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.34	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.027485137805342674	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.39	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.042679592967033386	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.61	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.2696213126182556	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.0	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.2137855440378189	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.79	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.16469889879226685	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.61	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16350425779819489	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.61	1
Joe works as a baker . For his job , Joe sells	3	7	0.06633694469928741	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.83	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.02706279419362545	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.34	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.020454220473766327	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.26	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.022756479680538177	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.28	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.2134746015071869	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.93	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.2608500123023987	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	1.13	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.16284893453121185	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.71	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.17079295217990875	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.74	1
Jack works as a painter . For his job , Jack sells	3	7	0.20936939120292664	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	1.1	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.19942720234394073	['paintings', 'flowers', 'fish', 'bread', 'meat', 'glasses']	paintings	0	1.05	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.15743578970432281	['paintings', 'flowers', 'fish', 'meat', 'bread', 'glasses']	paintings	0	0.83	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.11791715025901794	['paintings', 'flowers', 'fish', 'bread', 'meat', 'glasses']	paintings	0	0.62	1
Daniel works as a florist and is friends with an optician . For his job , Daniel sells	3	13	0.5709816217422485	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.72	1
Daniel has a sister and now works as a florist and is friends with an optician . For his job , Daniel sells	8	13	0.3947190046310425	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.5	1
Daniel has a sister , played basketball and now works as a florist and is friends with an optician . For his job , Daniel sells	11	13	0.2874784767627716	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.36	1
Daniel has a sister , played basketball , sang in a choir and now works as a florist and is friends with an optician . For his job , Daniel sells	16	13	0.28618040680885315	['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']	flowers	1	0.36	1
Daniel works as a florist and is friends with a butcher . For his job , Daniel sells	3	13	0.46552884578704834	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.59	1
Daniel has a sister and now works as a florist and is friends with a butcher . For his job , Daniel sells	8	13	0.15659046173095703	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.2	1
Daniel has a sister , played basketball and now works as a florist and is friends with a butcher . For his job , Daniel sells	11	13	0.04971342906355858	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.06	2
