sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.038028568029403687	['flowers', 'paintings', 'bread', 'fish', 'meat', 'glasses']	flowers	0	0.95	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.04245661571621895	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	0	1.06	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.01406410988420248	['flowers', 'paintings', 'meat', 'fish', 'bread', 'glasses']	flowers	0	0.35	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.015592478215694427	['flowers', 'paintings', 'bread', 'meat', 'glasses', 'fish']	flowers	0	0.39	1
John works as an optician . For his job , John sells	3	7	0.0017054828349500895	['glasses', 'flowers', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.71	1
John works as an optician and has a sister . For his job , John sells	3	11	0.0017589633353054523	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.76	2
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.0022446385119110346	['glasses', 'flowers', 'meat', 'bread', 'fish', 'paintings']	glasses	0	2.24	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.001714398618787527	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.71	2
Jack works as a butcher . For his job , Jack sells	3	7	0.169297456741333	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	1.0	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.17281636595726013	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	1.02	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.13342738151550293	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.78	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.0998668372631073	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.59	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.12015990167856216	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	1.0	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.10776983201503754	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.9	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.053969256579875946	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.45	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.045519184321165085	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.38	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.35692098736763	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.99	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.3533945679664612	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.98	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.20661994814872742	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.57	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.12742485105991364	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	fish	0	0.35	1
Jake works as a painter . For his job , Jake sells	3	7	0.20794084668159485	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.04	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.22129426896572113	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.11	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.11515031009912491	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.58	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.10181442648172379	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	paintings	0	0.51	1
Sebastian likes to buy glasses and works as a florist . For his job , Sebastian sells	8	7	0.002159303054213524	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.05	2
Sebastian likes to buy glasses and works as a florist and has a sister . For his job , Sebastian sells	8	11	0.005040935706347227	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.13	2
Sebastian likes to buy glasses and works as a florist , has a sister and played basketball . For his job , Sebastian sells	8	14	0.0030728757847100496	['glasses', 'flowers', 'paintings', 'bread', 'fish', 'meat']	flowers	1	0.08	2
Sebastian likes to buy glasses and works as a florist , has a sister , played basketball and sang in a choir . For his job , Sebastian sells	8	19	0.0034534491132944822	['glasses', 'flowers', 'paintings', 'bread', 'fish', 'meat']	flowers	1	0.09	2
Rowan likes to buy meat and works as a florist . For his job , Rowan sells	8	7	0.0010299563873559237	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.03	4
Rowan likes to buy meat and works as a florist and has a sister . For his job , Rowan sells	8	11	0.0017044286942109466	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.04	4
Rowan likes to buy meat and works as a florist , has a sister and played basketball . For his job , Rowan sells	8	14	0.001359904301352799	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.03	4
Rowan likes to buy meat and works as a florist , has a sister , played basketball and sang in a choir . For his job , Rowan sells	8	19	0.0014579927083104849	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.04	4
Rowan likes to buy bread and works as a florist . For his job , Rowan sells	8	7	0.00201116013340652	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	flowers	1	0.05	2
Rowan likes to buy bread and works as a florist and has a sister . For his job , Rowan sells	8	11	0.0036338826175779104	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	flowers	1	0.09	2
Rowan likes to buy bread and works as a florist , has a sister and played basketball . For his job , Rowan sells	8	14	0.002284132642671466	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	flowers	1	0.06	2
Rowan likes to buy bread and works as a florist , has a sister , played basketball and sang in a choir . For his job , Rowan sells	8	19	0.0025281363632529974	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	flowers	1	0.06	2
Jack likes to buy fish and works as a florist . For his job , Jack sells	8	7	0.0006792733329348266	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.02	3
Jack likes to buy fish and works as a florist and has a sister . For his job , Jack sells	8	11	0.0014327333774417639	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.04	3
Jack likes to buy fish and works as a florist , has a sister and played basketball . For his job , Jack sells	8	14	0.001265897648409009	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.03	3
Jack likes to buy fish and works as a florist , has a sister , played basketball and sang in a choir . For his job , Jack sells	8	19	0.0015235396567732096	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.04	3
Jack likes to buy paintings and works as a florist . For his job , Jack sells	8	7	0.0036601866595447063	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.09	2
Jack likes to buy paintings and works as a florist and has a sister . For his job , Jack sells	8	11	0.006495397072285414	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.16	2
Jack likes to buy paintings and works as a florist , has a sister and played basketball . For his job , Jack sells	8	14	0.004156654700636864	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.1	2
Jack likes to buy paintings and works as a florist , has a sister , played basketball and sang in a choir . For his job , Jack sells	8	19	0.0042096409015357494	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.11	2
Jake likes to buy flowers and works as an optician . For his job , Jake sells	8	7	0.00014078222739044577	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.14	3
Jake likes to buy flowers and works as an optician and has a sister . For his job , Jake sells	8	11	0.0001621880364837125	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	glasses	1	0.16	5
Jake likes to buy flowers and works as an optician , has a sister and played basketball . For his job , Jake sells	8	14	0.00021975499112159014	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.22	3
Jake likes to buy flowers and works as an optician , has a sister , played basketball and sang in a choir . For his job , Jake sells	8	19	0.00017327626119367778	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	glasses	1	0.17	4
Daniel likes to buy meat and works as an optician . For his job , Daniel sells	8	7	7.883860962465405e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.08	5
Daniel likes to buy meat and works as an optician and has a sister . For his job , Daniel sells	8	11	8.203405741369352e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.08	5
Daniel likes to buy meat and works as an optician , has a sister and played basketball . For his job , Daniel sells	8	14	0.0001416366285411641	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.14	5
Daniel likes to buy meat and works as an optician , has a sister , played basketball and sang in a choir . For his job , Daniel sells	8	19	0.00012690138828475028	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.13	5
Rowan likes to buy bread and works as an optician . For his job , Rowan sells	8	7	0.00026311702094972134	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.26	4
Rowan likes to buy bread and works as an optician and has a sister . For his job , Rowan sells	8	11	0.00028528948314487934	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	glasses	1	0.29	5
Rowan likes to buy bread and works as an optician , has a sister and played basketball . For his job , Rowan sells	8	14	0.0003429232747294009	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.34	4
Rowan likes to buy bread and works as an optician , has a sister , played basketball and sang in a choir . For his job , Rowan sells	8	19	0.00030009119655005634	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.3	4
Jake likes to buy fish and works as an optician . For his job , Jake sells	8	7	0.0005469957832247019	['fish', 'meat', 'glasses', 'bread', 'flowers', 'paintings']	glasses	1	0.55	3
Jake likes to buy fish and works as an optician and has a sister . For his job , Jake sells	8	11	0.0005188651848584414	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	glasses	1	0.52	5
Jake likes to buy fish and works as an optician , has a sister and played basketball . For his job , Jake sells	8	14	0.0006734066409990191	['fish', 'meat', 'flowers', 'glasses', 'bread', 'paintings']	glasses	1	0.67	4
Jake likes to buy fish and works as an optician , has a sister , played basketball and sang in a choir . For his job , Jake sells	8	19	0.000620589533355087	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	glasses	1	0.62	5
Daniel likes to buy paintings and works as an optician . For his job , Daniel sells	8	7	0.0004442765493877232	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.44	3
Daniel likes to buy paintings and works as an optician and has a sister . For his job , Daniel sells	8	11	0.000439124065451324	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.44	3
Daniel likes to buy paintings and works as an optician , has a sister and played basketball . For his job , Daniel sells	8	14	0.0005582718295045197	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.56	3
Daniel likes to buy paintings and works as an optician , has a sister , played basketball and sang in a choir . For his job , Daniel sells	8	19	0.0004727703344542533	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	glasses	1	0.47	3
John likes to buy flowers and works as a butcher . For his job , John sells	8	7	0.004816352855414152	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.03	2
John likes to buy flowers and works as a butcher and has a sister . For his job , John sells	8	11	0.0049165841192007065	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.03	2
John likes to buy flowers and works as a butcher , has a sister and played basketball . For his job , John sells	8	14	0.0031624005641788244	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.02	2
John likes to buy flowers and works as a butcher , has a sister , played basketball and sang in a choir . For his job , John sells	8	19	0.0018526606727391481	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.01	2
John likes to buy glasses and works as a butcher . For his job , John sells	8	7	0.023777808994054794	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.14	2
John likes to buy glasses and works as a butcher and has a sister . For his job , John sells	8	11	0.023064902052283287	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.14	2
John likes to buy glasses and works as a butcher , has a sister and played basketball . For his job , John sells	8	14	0.013973686844110489	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.08	2
John likes to buy glasses and works as a butcher , has a sister , played basketball and sang in a choir . For his job , John sells	8	19	0.00720080966129899	['glasses', 'meat', 'bread', 'flowers', 'fish', 'paintings']	meat	1	0.04	2
John likes to buy bread and works as a butcher . For his job , John sells	8	7	0.018912142142653465	['bread', 'meat', 'fish', 'flowers', 'glasses', 'paintings']	meat	1	0.11	2
John likes to buy bread and works as a butcher and has a sister . For his job , John sells	8	11	0.020052628591656685	['bread', 'meat', 'fish', 'flowers', 'glasses', 'paintings']	meat	1	0.12	2
John likes to buy bread and works as a butcher , has a sister and played basketball . For his job , John sells	8	14	0.01532667875289917	['bread', 'meat', 'fish', 'flowers', 'glasses', 'paintings']	meat	1	0.09	2
John likes to buy bread and works as a butcher , has a sister , played basketball and sang in a choir . For his job , John sells	8	19	0.011604071594774723	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	meat	1	0.07	2
Daniel likes to buy fish and works as a butcher . For his job , Daniel sells	8	7	0.020958514884114265	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.12	2
Daniel likes to buy fish and works as a butcher and has a sister . For his job , Daniel sells	8	11	0.023106232285499573	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.14	2
Daniel likes to buy fish and works as a butcher , has a sister and played basketball . For his job , Daniel sells	8	14	0.021944930776953697	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.13	2
Daniel likes to buy fish and works as a butcher , has a sister , played basketball and sang in a choir . For his job , Daniel sells	8	19	0.01787312887609005	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.11	2
Jack likes to buy paintings and works as a butcher . For his job , Jack sells	8	7	0.015921197831630707	['paintings', 'meat', 'bread', 'flowers', 'fish', 'glasses']	meat	1	0.09	2
Jack likes to buy paintings and works as a butcher and has a sister . For his job , Jack sells	8	11	0.01676356792449951	['paintings', 'meat', 'bread', 'flowers', 'fish', 'glasses']	meat	1	0.1	2
Jack likes to buy paintings and works as a butcher , has a sister and played basketball . For his job , Jack sells	8	14	0.010961715131998062	['paintings', 'meat', 'bread', 'flowers', 'fish', 'glasses']	meat	1	0.06	2
Jack likes to buy paintings and works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	8	19	0.005898741539567709	['paintings', 'meat', 'flowers', 'bread', 'fish', 'glasses']	meat	1	0.03	2
Joe likes to buy flowers and works as a baker . For his job , Joe sells	8	7	0.0037008130457252264	['flowers', 'bread', 'meat', 'paintings', 'fish', 'glasses']	bread	1	0.03	2
Joe likes to buy flowers and works as a baker and has a sister . For his job , Joe sells	8	11	0.003873460227623582	['flowers', 'bread', 'meat', 'paintings', 'fish', 'glasses']	bread	1	0.03	2
Joe likes to buy flowers and works as a baker , has a sister and played basketball . For his job , Joe sells	8	14	0.002328521106392145	['flowers', 'bread', 'meat', 'paintings', 'fish', 'glasses']	bread	1	0.02	2
Joe likes to buy flowers and works as a baker , has a sister , played basketball and sang in a choir . For his job , Joe sells	8	19	0.0016518104821443558	['flowers', 'bread', 'paintings', 'meat', 'fish', 'glasses']	bread	1	0.01	2
