sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells	3	7	0.038028568029403687	['flowers', 'paintings', 'bread', 'fish', 'meat', 'glasses']	flowers	0	0.95	1
Jake works as a florist and has a sister . For his job , Jake sells	3	11	0.04245661571621895	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	0	1.06	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells	3	14	0.01406410988420248	['flowers', 'paintings', 'meat', 'fish', 'bread', 'glasses']	flowers	0	0.35	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.015592478215694427	['flowers', 'paintings', 'bread', 'meat', 'glasses', 'fish']	flowers	0	0.39	1
John works as an optician . For his job , John sells	3	7	0.0017054828349500895	['glasses', 'flowers', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.71	1
John works as an optician and has a sister . For his job , John sells	3	11	0.0017589633353054523	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.76	2
John works as an optician , has a sister and played basketball . For his job , John sells	3	14	0.0022446385119110346	['glasses', 'flowers', 'meat', 'bread', 'fish', 'paintings']	glasses	0	2.24	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells	3	19	0.001714398618787527	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.71	2
Jack works as a butcher . For his job , Jack sells	3	7	0.169297456741333	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	1.0	1
Jack works as a butcher and has a sister . For his job , Jack sells	3	11	0.17281636595726013	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	1.02	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells	3	14	0.13342738151550293	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.78	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	3	19	0.0998668372631073	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.59	1
Daniel works as a baker . For his job , Daniel sells	3	7	0.12015990167856216	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	1.0	1
Daniel works as a baker and has a sister . For his job , Daniel sells	3	11	0.10776983201503754	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.9	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells	3	14	0.053969256579875946	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.45	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.045519184321165085	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.38	1
Daniel works as a fisherman . For his job , Daniel sells	3	7	0.35692098736763	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.99	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells	3	11	0.3533945679664612	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.98	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells	3	14	0.20661994814872742	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.57	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells	3	19	0.12742485105991364	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	fish	0	0.35	1
Jake works as a painter . For his job , Jake sells	3	7	0.20794084668159485	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.04	1
Jake works as a painter and has a sister . For his job , Jake sells	3	11	0.22129426896572113	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.11	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells	3	14	0.11515031009912491	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.58	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells	3	19	0.10181442648172379	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	paintings	0	0.51	1
Jake knows that Rowan likes to buy glasses and he himself works as a florist . For his job , Jake sells	13	7	0.0018472489900887012	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.05	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.0033179696183651686	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.08	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.0022650042083114386	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.06	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	13	19	0.0023397053591907024	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.06	2
Joe knows that Jake likes to buy meat and he himself works as a florist . For his job , Joe sells	13	7	0.00048502450226806104	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.01	4
Joe knows that Jake likes to buy meat and he himself works as a florist and has a sister . For his job , Joe sells	13	11	0.0007464602822437882	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	flowers	1	0.02	4
Joe knows that Jake likes to buy meat and he himself works as a florist , has a sister and played basketball . For his job , Joe sells	13	14	0.0006149939727038145	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.02	4
Joe knows that Jake likes to buy meat and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Joe sells	13	19	0.0006739571690559387	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	flowers	1	0.02	4
Jake knows that John likes to buy bread and he himself works as a florist . For his job , Jake sells	13	7	0.0010472204303368926	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	flowers	1	0.03	3
Jake knows that John likes to buy bread and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.00194375345017761	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	flowers	1	0.05	3
Jake knows that John likes to buy bread and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.0012577770976349711	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	flowers	1	0.03	3
Jake knows that John likes to buy bread and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	13	19	0.0014152498915791512	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	flowers	1	0.04	3
Jake knows that Jack likes to buy fish and he himself works as a florist . For his job , Jake sells	13	7	0.0005563386366702616	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.01	3
Jake knows that Jack likes to buy fish and he himself works as a florist and has a sister . For his job , Jake sells	13	11	0.0010400000028312206	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.03	3
Jake knows that Jack likes to buy fish and he himself works as a florist , has a sister and played basketball . For his job , Jake sells	13	14	0.0009082357864826918	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.02	3
Jake knows that Jack likes to buy fish and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells	13	19	0.0010424897773191333	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	flowers	1	0.03	3
John knows that Daniel likes to buy paintings and he himself works as a florist . For his job , John sells	13	7	0.0017448934959247708	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.04	2
John knows that Daniel likes to buy paintings and he himself works as a florist and has a sister . For his job , John sells	13	11	0.0025281733833253384	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.06	2
John knows that Daniel likes to buy paintings and he himself works as a florist , has a sister and played basketball . For his job , John sells	13	14	0.0020854808390140533	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.05	2
John knows that Daniel likes to buy paintings and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , John sells	13	19	0.0021030635107308626	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.05	2
Joe knows that Sebastian likes to buy flowers and he himself works as an optician . For his job , Joe sells	13	7	0.0002033263153862208	['flowers', 'glasses', 'paintings', 'bread', 'fish', 'meat']	glasses	1	0.2	2
Joe knows that Sebastian likes to buy flowers and he himself works as an optician and has a sister . For his job , Joe sells	13	11	0.0001866243255790323	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	glasses	1	0.19	3
Joe knows that Sebastian likes to buy flowers and he himself works as an optician , has a sister and played basketball . For his job , Joe sells	13	14	0.00024989157100208104	['flowers', 'glasses', 'paintings', 'bread', 'meat', 'fish']	glasses	1	0.25	2
Joe knows that Sebastian likes to buy flowers and he himself works as an optician , has a sister , played basketball and sang in a choir . For his job , Joe sells	13	19	0.00018360125250183046	['flowers', 'paintings', 'glasses', 'bread', 'meat', 'fish']	glasses	1	0.18	3
Daniel knows that Sebastian likes to buy meat and he himself works as an optician . For his job , Daniel sells	13	7	9.020288416650146e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.09	5
Daniel knows that Sebastian likes to buy meat and he himself works as an optician and has a sister . For his job , Daniel sells	13	11	7.881918281782418e-05	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.08	5
Daniel knows that Sebastian likes to buy meat and he himself works as an optician , has a sister and played basketball . For his job , Daniel sells	13	14	0.00014383271627593786	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.14	5
Daniel knows that Sebastian likes to buy meat and he himself works as an optician , has a sister , played basketball and sang in a choir . For his job , Daniel sells	13	19	0.0001235292002093047	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.12	5
Daniel knows that Joe likes to buy bread and he himself works as an optician . For his job , Daniel sells	13	7	0.00029538240050897	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.3	4
Daniel knows that Joe likes to buy bread and he himself works as an optician and has a sister . For his job , Daniel sells	13	11	0.00028325000312179327	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	glasses	1	0.28	5
Daniel knows that Joe likes to buy bread and he himself works as an optician , has a sister and played basketball . For his job , Daniel sells	13	14	0.00039531150832772255	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.4	4
Daniel knows that Joe likes to buy bread and he himself works as an optician , has a sister , played basketball and sang in a choir . For his job , Daniel sells	13	19	0.0003211098664905876	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	glasses	1	0.32	4
Rowan knows that Jack likes to buy fish and he himself works as an optician . For his job , Rowan sells	13	7	0.0011820141226053238	['fish', 'meat', 'glasses', 'flowers', 'bread', 'paintings']	glasses	1	1.18	3
Rowan knows that Jack likes to buy fish and he himself works as an optician and has a sister . For his job , Rowan sells	13	11	0.0010600112145766616	['fish', 'meat', 'glasses', 'flowers', 'bread', 'paintings']	glasses	1	1.06	3
Rowan knows that Jack likes to buy fish and he himself works as an optician , has a sister and played basketball . For his job , Rowan sells	13	14	0.0012599072651937604	['fish', 'meat', 'glasses', 'flowers', 'bread', 'paintings']	glasses	1	1.26	3
Rowan knows that Jack likes to buy fish and he himself works as an optician , has a sister , played basketball and sang in a choir . For his job , Rowan sells	13	19	0.0010319878347218037	['fish', 'meat', 'glasses', 'flowers', 'bread', 'paintings']	glasses	1	1.03	3
Joe knows that Jake likes to buy paintings and he himself works as an optician . For his job , Joe sells	13	7	0.0003775063087232411	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.38	3
Joe knows that Jake likes to buy paintings and he himself works as an optician and has a sister . For his job , Joe sells	13	11	0.0003440571890678257	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.34	3
Joe knows that Jake likes to buy paintings and he himself works as an optician , has a sister and played basketball . For his job , Joe sells	13	14	0.0004187018203083426	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	1	0.42	3
Joe knows that Jake likes to buy paintings and he himself works as an optician , has a sister , played basketball and sang in a choir . For his job , Joe sells	13	19	0.00032491624006070197	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	glasses	1	0.32	3
Rowan knows that Sebastian likes to buy flowers and he himself works as a butcher . For his job , Rowan sells	13	7	0.00239706807769835	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.01	2
Rowan knows that Sebastian likes to buy flowers and he himself works as a butcher and has a sister . For his job , Rowan sells	13	11	0.002175008412450552	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	meat	1	0.01	2
Rowan knows that Sebastian likes to buy flowers and he himself works as a butcher , has a sister and played basketball . For his job , Rowan sells	13	14	0.0014412766322493553	['flowers', 'meat', 'bread', 'paintings', 'fish', 'glasses']	meat	1	0.01	2
Rowan knows that Sebastian likes to buy flowers and he himself works as a butcher , has a sister , played basketball and sang in a choir . For his job , Rowan sells	13	19	0.0008422781247645617	['flowers', 'meat', 'bread', 'paintings', 'fish', 'glasses']	meat	1	0.0	2
Jack knows that Sebastian likes to buy glasses and he himself works as a butcher . For his job , Jack sells	13	7	0.01208032201975584	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.07	2
Jack knows that Sebastian likes to buy glasses and he himself works as a butcher and has a sister . For his job , Jack sells	13	11	0.01280146837234497	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.08	2
Jack knows that Sebastian likes to buy glasses and he himself works as a butcher , has a sister and played basketball . For his job , Jack sells	13	14	0.008165371604263783	['glasses', 'meat', 'bread', 'fish', 'flowers', 'paintings']	meat	1	0.05	2
Jack knows that Sebastian likes to buy glasses and he himself works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells	13	19	0.0041369288228452206	['glasses', 'meat', 'bread', 'flowers', 'fish', 'paintings']	meat	1	0.02	2
Sebastian knows that Rowan likes to buy bread and he himself works as a butcher . For his job , Sebastian sells	13	7	0.012479269877076149	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	meat	1	0.07	2
Sebastian knows that Rowan likes to buy bread and he himself works as a butcher and has a sister . For his job , Sebastian sells	13	11	0.013286578468978405	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	meat	1	0.08	2
Sebastian knows that Rowan likes to buy bread and he himself works as a butcher , has a sister and played basketball . For his job , Sebastian sells	13	14	0.010339127853512764	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	meat	1	0.06	2
Sebastian knows that Rowan likes to buy bread and he himself works as a butcher , has a sister , played basketball and sang in a choir . For his job , Sebastian sells	13	19	0.007745353039354086	['bread', 'meat', 'flowers', 'fish', 'glasses', 'paintings']	meat	1	0.05	2
Sebastian knows that Jake likes to buy fish and he himself works as a butcher . For his job , Sebastian sells	13	7	0.021372564136981964	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.13	2
Sebastian knows that Jake likes to buy fish and he himself works as a butcher and has a sister . For his job , Sebastian sells	13	11	0.023333273828029633	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.14	2
Sebastian knows that Jake likes to buy fish and he himself works as a butcher , has a sister and played basketball . For his job , Sebastian sells	13	14	0.020016470924019814	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.12	2
Sebastian knows that Jake likes to buy fish and he himself works as a butcher , has a sister , played basketball and sang in a choir . For his job , Sebastian sells	13	19	0.015987005084753036	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	meat	1	0.09	2
Rowan knows that Jake likes to buy paintings and he himself works as a butcher . For his job , Rowan sells	13	7	0.0036281549837440252	['paintings', 'meat', 'flowers', 'bread', 'fish', 'glasses']	meat	1	0.02	2
Rowan knows that Jake likes to buy paintings and he himself works as a butcher and has a sister . For his job , Rowan sells	13	11	0.0032067212741822004	['paintings', 'flowers', 'meat', 'bread', 'fish', 'glasses']	meat	1	0.02	3
