sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
John works as a florist and Sebastian likes to buy glasses . For his job , John sells	3	13	0.16569536924362183	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.29	1
John has a sister and now works as a florist and Sebastian likes to buy glasses . For his job , John sells	8	13	0.09087841957807541	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.16	1
John has a sister , played basketball and now works as a florist and Sebastian likes to buy glasses . For his job , John sells	11	13	0.04979466646909714	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.09	1
John has a sister , played basketball , sang in a choir and now works as a florist and Sebastian likes to buy glasses . For his job , John sells	16	13	0.0485067181289196	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.08	1
Sebastian works as a florist and Jake likes to buy meat . For his job , Sebastian sells	3	13	0.10633151978254318	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.18	1
Sebastian has a sister and now works as a florist and Jake likes to buy meat . For his job , Sebastian sells	8	13	0.05691232904791832	['flowers', 'meat', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.1	1
Sebastian has a sister , played basketball and now works as a florist and Jake likes to buy meat . For his job , Sebastian sells	11	13	0.07844831794500351	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.14	1
Sebastian has a sister , played basketball , sang in a choir and now works as a florist and Jake likes to buy meat . For his job , Sebastian sells	16	13	0.0776413157582283	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.13	1
Jake works as a florist and Jack likes to buy bread . For his job , Jake sells	3	13	0.1273002028465271	['flowers', 'bread', 'paintings', 'meat', 'fish', 'glasses']	flowers	1	0.22	1
Jake has a sister and now works as a florist and Jack likes to buy bread . For his job , Jake sells	8	13	0.06901941448450089	['flowers', 'bread', 'meat', 'fish', 'paintings', 'glasses']	flowers	1	0.12	1
Jake has a sister , played basketball and now works as a florist and Jack likes to buy bread . For his job , Jake sells	11	13	0.040524672716856	['bread', 'flowers', 'meat', 'paintings', 'fish', 'glasses']	flowers	1	0.07	2
Jake has a sister , played basketball , sang in a choir and now works as a florist and Jack likes to buy bread . For his job , Jake sells	16	13	0.03702443838119507	['bread', 'flowers', 'meat', 'paintings', 'fish', 'glasses']	flowers	1	0.06	2
Sebastian works as a florist and Jake likes to buy fish . For his job , Sebastian sells	3	13	0.39090096950531006	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.67	1
Sebastian has a sister and now works as a florist and Jake likes to buy fish . For his job , Sebastian sells	8	13	0.2750460207462311	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.47	1
Sebastian has a sister , played basketball and now works as a florist and Jake likes to buy fish . For his job , Sebastian sells	11	13	0.2887243330478668	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.5	1
Sebastian has a sister , played basketball , sang in a choir and now works as a florist and Jake likes to buy fish . For his job , Sebastian sells	16	13	0.24914942681789398	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.43	1
Rowan works as a florist and Sebastian likes to buy paintings . For his job , Rowan sells	3	13	0.08523178845643997	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.15	1
Rowan has a sister and now works as a florist and Sebastian likes to buy paintings . For his job , Rowan sells	8	13	0.028283478692173958	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.05	2
Rowan has a sister , played basketball and now works as a florist and Sebastian likes to buy paintings . For his job , Rowan sells	11	13	0.02652180939912796	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.05	2
Rowan has a sister , played basketball , sang in a choir and now works as a florist and Sebastian likes to buy paintings . For his job , Rowan sells	16	13	0.034083228558301926	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.06	2
Joe works as an optician and Jake likes to buy flowers . For his job , Joe sells	3	13	0.00488895270973444	['flowers', 'glasses', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.1	2
Joe has a sister and now works as an optician and Jake likes to buy flowers . For his job , Joe sells	8	13	0.003867944935336709	['flowers', 'glasses', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.08	2
Joe has a sister , played basketball and now works as an optician and Jake likes to buy flowers . For his job , Joe sells	11	13	0.003331901738420129	['flowers', 'glasses', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.07	2
Joe has a sister , played basketball , sang in a choir and now works as an optician and Jake likes to buy flowers . For his job , Joe sells	16	13	0.003783091204240918	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	glasses	1	0.08	2
Jack works as an optician and John likes to buy meat . For his job , Jack sells	3	13	0.001410091994330287	['meat', 'fish', 'glasses', 'flowers', 'bread', 'paintings']	glasses	1	0.03	3
Jack has a sister and now works as an optician and John likes to buy meat . For his job , Jack sells	8	13	0.0007808530936017632	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	glasses	1	0.02	5
Jack has a sister , played basketball and now works as an optician and John likes to buy meat . For his job , Jack sells	11	13	0.0006648272974416614	['meat', 'fish', 'flowers', 'bread', 'glasses', 'paintings']	glasses	1	0.01	5
