sentence	target_occupation
Daniel works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells [MASK] .	flowers
Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells [MASK] .	glasses
Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells [MASK] .	meat
Joe works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister and now works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells [MASK] .	bread
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells [MASK] .	bread
Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells [MASK] .	fish
Jack works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister and now works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells [MASK] .	paintings
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells [MASK] .	paintings
Daniel works as a florist and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Daniel reads newspaper and now works as a florist and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Daniel reads newspaper , drives a car and now works as a florist and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Daniel reads newspaper , drives a car , slept late last week and now works as a florist and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Daniel works as a florist and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Daniel drives a car and now works as a florist and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Daniel drives a car , reads newspaper and now works as a florist and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Daniel drives a car , reads newspaper , sits by the lake and now works as a florist and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Rowan works as a florist and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Rowan reads newspaper and now works as a florist and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Rowan reads newspaper , writes poetry and now works as a florist and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Rowan reads newspaper , writes poetry , sits by the lake and now works as a florist and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Sebastian works as a florist and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Sebastian slept late last week and now works as a florist and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Sebastian slept late last week , has a pet snake and now works as a florist and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Sebastian slept late last week , has a pet snake , reads newspaper and now works as a florist and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Rowan works as a florist and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Rowan sits by the lake and now works as a florist and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
