sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells [MASK] .	3	7	0.1588592380285263	['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']	flowers	0	0.99	1
Daniel has a sister and now works as a florist . For his job , Daniel sells [MASK] .	8	7	0.10943269729614258	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	0	0.68	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells [MASK] .	12	7	0.02243509702384472	['flowers', 'fish', 'paintings', 'glasses', 'bread', 'meat']	flowers	0	0.14	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells [MASK] .	17	7	0.010210121981799603	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	0	0.06	1
Sebastian works as an optician . For his job , Sebastian sells [MASK] .	3	7	0.04909932613372803	['glasses', 'paintings', 'fish', 'flowers', 'bread', 'meat']	glasses	0	0.98	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells [MASK] .	8	7	0.04068936035037041	['glasses', 'paintings', 'fish', 'flowers', 'bread', 'meat']	glasses	0	0.81	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells [MASK] .	12	7	0.00525307422503829	['glasses', 'paintings', 'flowers', 'fish', 'bread', 'meat']	glasses	0	0.11	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells [MASK] .	17	7	0.0020800891797989607	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	glasses	0	0.04	3
Daniel works as a butcher . For his job , Daniel sells [MASK] .	3	7	0.0993143618106842	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.99	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells [MASK] .	8	7	0.05828896909952164	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.58	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells [MASK] .	12	7	0.030754419043660164	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.31	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells [MASK] .	17	7	0.016253303736448288	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.16	1
Joe works as a baker . For his job , Joe sells [MASK] .	3	7	0.04563552886247635	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.91	1
Joe has a sister and now works as a baker . For his job , Joe sells [MASK] .	8	7	0.03386096656322479	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.68	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells [MASK] .	12	7	0.029485518112778664	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.59	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells [MASK] .	17	7	0.018319139257073402	['bread', 'meat', 'fish', 'flowers', 'paintings', 'glasses']	bread	0	0.37	1
Rowan works as a fisherman . For his job , Rowan sells [MASK] .	3	7	0.38498497009277344	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	1.01	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells [MASK] .	8	7	0.23664462566375732	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.62	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells [MASK] .	12	7	0.09110806882381439	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.24	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells [MASK] .	17	7	0.040531933307647705	['fish', 'meat', 'flowers', 'bread', 'paintings', 'glasses']	fish	0	0.11	1
Jack works as a painter . For his job , Jack sells [MASK] .	3	7	0.21074099838733673	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
Jack has a sister and now works as a painter . For his job , Jack sells [MASK] .	8	7	0.1472015231847763	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	0.7	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells [MASK] .	12	7	0.051087550818920135	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	0.24	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells [MASK] .	17	7	0.02857762761414051	['paintings', 'fish', 'flowers', 'meat', 'glasses', 'bread']	paintings	0	0.14	1
Jake works as a florist and writes poetry . For his job , Jake sells [MASK] .	3	10	0.016104737296700478	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.1	1
Jake has a sister and now works as a works as a florist and writes poetry . For his job , Jake sells [MASK] .	11	10	0.015683423727750778	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.1	1
Jake has a sister , sang in a choir and now works as a florist and writes poetry . For his job , Jake sells [MASK] .	13	10	0.006572868209332228	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.04	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and writes poetry . For his job , Jake sells [MASK] .	18	10	0.007933354936540127	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.05	1
Jake works as a florist and drives a car . For his job , Jake sells [MASK] .	3	11	0.05025123804807663	['flowers', 'paintings', 'fish', 'glasses', 'meat', 'bread']	flowers	1	0.31	1
Jake has a sister and now works as a works as a florist and drives a car . For his job , Jake sells [MASK] .	11	11	0.03231985121965408	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	1	0.2	1
Jake has a sister , sang in a choir and now works as a florist and drives a car . For his job , Jake sells [MASK] .	13	11	0.009337871335446835	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	1	0.06	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and drives a car . For his job , Jake sells [MASK] .	18	11	0.010987811721861362	['flowers', 'fish', 'paintings', 'glasses', 'meat', 'bread']	flowers	1	0.07	1
Daniel works as a florist and slept late last week . For his job , Daniel sells [MASK] .	3	12	0.1002047136425972	['flowers', 'paintings', 'fish', 'glasses', 'bread', 'meat']	flowers	1	0.63	1
Daniel has a sister and now works as a works as a florist and slept late last week . For his job , Daniel sells [MASK] .	11	12	0.04495880380272865	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.28	1
Daniel has a sister , sang in a choir and now works as a florist and slept late last week . For his job , Daniel sells [MASK] .	13	12	0.012823723256587982	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.08	1
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a florist and slept late last week . For his job , Daniel sells [MASK] .	18	12	0.01829509250819683	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	1	0.11	1
Joe works as a florist and sits by the lake . For his job , Joe sells [MASK] .	3	12	0.08028897643089294	['flowers', 'fish', 'paintings', 'meat', 'bread', 'glasses']	flowers	1	0.5	1
Joe has a sister and now works as a works as a florist and sits by the lake . For his job , Joe sells [MASK] .	11	12	0.04105164110660553	['flowers', 'fish', 'meat', 'bread', 'paintings', 'glasses']	flowers	1	0.26	1
