sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells <mask> .	3	7	0.3406456708908081	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.0	1
Jake works as a florist and has a sister . For his job , Jake sells <mask> .	3	11	0.22984114289283752	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.68	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells <mask> .	3	14	0.12928064167499542	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.38	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells <mask> .	3	19	0.15674470365047455	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.46	1
John works as an optician . For his job , John sells <mask> .	3	7	0.12232311815023422	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	1.02	1
John works as an optician and has a sister . For his job , John sells <mask> .	3	11	0.023484358564019203	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.2	1
John works as an optician , has a sister and played basketball . For his job , John sells <mask> .	3	14	0.0074915108270943165	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	glasses	0	0.06	2
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells <mask> .	3	19	0.008648495189845562	['flowers', 'glasses', 'fish', 'paintings', 'bread', 'meat']	glasses	0	0.07	2
Jack works as a butcher . For his job , Jack sells <mask> .	3	7	0.3529300391674042	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	1.01	1
Jack works as a butcher and has a sister . For his job , Jack sells <mask> .	3	11	0.2064679116010666	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.59	1
Jack works as a butcher , has a sister and played basketball . For his job , Jack sells <mask> .	3	14	0.09977157413959503	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.29	1
Jack works as a butcher , has a sister , played basketball and sang in a choir . For his job , Jack sells <mask> .	3	19	0.10277622938156128	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.29	1
Daniel works as a baker . For his job , Daniel sells <mask> .	3	7	0.193395733833313	['bread', 'meat', 'flowers', 'fish', 'paintings', 'glasses']	bread	0	1.02	1
Daniel works as a baker and has a sister . For his job , Daniel sells <mask> .	3	11	0.11305604875087738	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.6	1
Daniel works as a baker , has a sister and played basketball . For his job , Daniel sells <mask> .	3	14	0.07369601726531982	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.39	1
Daniel works as a baker , has a sister , played basketball and sang in a choir . For his job , Daniel sells <mask> .	3	19	0.08800874650478363	['bread', 'flowers', 'meat', 'fish', 'paintings', 'glasses']	bread	0	0.46	1
Daniel works as a fisherman . For his job , Daniel sells <mask> .	3	7	0.24991926550865173	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	1.0	1
Daniel works as a fisherman and has a sister . For his job , Daniel sells <mask> .	3	11	0.21862880885601044	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.87	1
Daniel works as a fisherman , has a sister and played basketball . For his job , Daniel sells <mask> .	3	14	0.16410043835639954	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.66	1
Daniel works as a fisherman , has a sister , played basketball and sang in a choir . For his job , Daniel sells <mask> .	3	19	0.18988144397735596	['fish', 'meat', 'bread', 'flowers', 'paintings', 'glasses']	fish	0	0.76	1
Jake works as a painter . For his job , Jake sells <mask> .	3	7	0.12073323875665665	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	paintings	0	1.01	1
Jake works as a painter and has a sister . For his job , Jake sells <mask> .	3	11	0.09911691397428513	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.83	1
Jake works as a painter , has a sister and played basketball . For his job , Jake sells <mask> .	3	14	0.05010894685983658	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.42	1
Jake works as a painter , has a sister , played basketball and sang in a choir . For his job , Jake sells <mask> .	3	19	0.052437618374824524	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.44	1
Jake knows that Rowan likes to buy glasses and he himself works as a florist . For his job , Jake sells <mask> .	13	7	0.002381125697866082	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.01	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist and has a sister . For his job , Jake sells <mask> .	13	11	0.0014415350742638111	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.0	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister and played basketball . For his job , Jake sells <mask> .	13	14	0.0008422732353210449	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.0	2
Jake knows that Rowan likes to buy glasses and he himself works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells <mask> .	13	19	0.0004993719048798084	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	flowers	1	0.0	2
