sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.4475742280483246	['flowers', 'fish', 'bread', 'paintings', 'glasses', 'meat']	flowers	0	1.18	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.4612390995025635	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	0	1.21	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.28953322768211365	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	0	0.76	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.2213941216468811	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	0	0.58	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.011193648912012577	['glasses', 'paintings', 'flowers', 'fish', 'meat', 'bread']	glasses	0	1.12	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.008632262237370014	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	0	0.86	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.009361260570585728	['glasses', 'paintings', 'flowers', 'fish', 'bread', 'meat']	glasses	0	0.94	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.007797973696142435	['glasses', 'paintings', 'flowers', 'fish', 'bread', 'meat']	glasses	0	0.78	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.14969734847545624	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.07	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.0925254225730896	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.66	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.047616682946681976	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.34	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.027892716228961945	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.2	1
Joe works as a baker . For his job , Joe sells	3	7	0.08871324360370636	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.89	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.07664774358272552	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.77	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.041757140308618546	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.42	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.03869160637259483	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	bread	0	0.39	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.11088565737009048	['fish', 'bread', 'meat', 'flowers', 'glasses', 'paintings']	fish	0	0.79	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.13533088564872742	['fish', 'bread', 'meat', 'flowers', 'paintings', 'glasses']	fish	0	0.97	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.09676943719387054	['fish', 'flowers', 'bread', 'meat', 'paintings', 'glasses']	fish	0	0.69	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.09099429845809937	['fish', 'bread', 'flowers', 'meat', 'paintings', 'glasses']	fish	0	0.65	1
Jack works as a painter . For his job , Jack sells	3	7	0.08133149892091751	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.16	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.12096917629241943	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.73	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.12807708978652954	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	1.83	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.1136685237288475	['paintings', 'flowers', 'fish', 'bread', 'glasses', 'meat']	paintings	0	1.62	1
John works as a florist and likes to buy glasses . For his job , John sells	3	12	0.0038415356539189816	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
John has a sister and now works as a florist and likes to buy glasses . For his job , John sells	8	12	0.00420331209897995	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
John has a sister , played basketball and now works as a florist and likes to buy glasses . For his job , John sells	11	12	0.003266773419454694	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
John has a sister , played basketball , sang in a choir and now works as a florist and likes to buy glasses . For his job , John sells	16	12	0.004058989230543375	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	flowers	1	0.01	2
Sebastian works as a florist and likes to buy meat . For his job , Sebastian sells	3	12	0.012231012806296349	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.03	2
Sebastian has a sister and now works as a florist and likes to buy meat . For his job , Sebastian sells	8	12	0.01601310260593891	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.04	2
Sebastian has a sister , played basketball and now works as a florist and likes to buy meat . For his job , Sebastian sells	11	12	0.02229176089167595	['flowers', 'meat', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.06	1
Sebastian has a sister , played basketball , sang in a choir and now works as a florist and likes to buy meat . For his job , Sebastian sells	16	12	0.020258363336324692	['flowers', 'meat', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.05	1
Rowan works as a florist and likes to buy bread . For his job , Rowan sells	3	12	0.02380579151213169	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.06	2
Rowan has a sister and now works as a florist and likes to buy bread . For his job , Rowan sells	8	12	0.021175120025873184	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.06	2
Rowan has a sister , played basketball and now works as a florist and likes to buy bread . For his job , Rowan sells	11	12	0.02155015431344509	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.06	2
Rowan has a sister , played basketball , sang in a choir and now works as a florist and likes to buy bread . For his job , Rowan sells	16	12	0.02526712976396084	['bread', 'flowers', 'fish', 'meat', 'paintings', 'glasses']	flowers	1	0.07	2
Jake works as a florist and likes to buy fish . For his job , Jake sells	3	12	0.02309149131178856	['fish', 'flowers', 'bread', 'meat', 'paintings', 'glasses']	flowers	1	0.06	2
Jake has a sister and now works as a florist and likes to buy fish . For his job , Jake sells	8	12	0.03258230537176132	['fish', 'flowers', 'bread', 'paintings', 'glasses', 'meat']	flowers	1	0.09	2
