sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Jake works as a florist . For his job , Jake sells [MASK] .	3	7	0.5322849750518799	['flowers', 'glasses', 'paintings', 'meat', 'fish', 'bread']	flowers	0	1.0	1
Jake works as a florist and has a sister . For his job , Jake sells [MASK] .	3	11	0.4178576171398163	['flowers', 'glasses', 'paintings', 'meat', 'fish', 'bread']	flowers	0	0.79	1
Jake works as a florist , has a sister and played basketball . For his job , Jake sells [MASK] .	3	14	0.19656671583652496	['flowers', 'glasses', 'paintings', 'meat', 'fish', 'bread']	flowers	0	0.37	1
Jake works as a florist , has a sister , played basketball and sang in a choir . For his job , Jake sells [MASK] .	3	19	0.1798696219921112	['flowers', 'glasses', 'paintings', 'meat', 'fish', 'bread']	flowers	0	0.34	1
John works as an optician . For his job , John sells [MASK] .	3	7	0.30888599157333374	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	1.03	1
John works as an optician and has a sister . For his job , John sells [MASK] .	3	11	0.2600337862968445	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.87	1
John works as an optician , has a sister and played basketball . For his job , John sells [MASK] .	3	14	0.09151668846607208	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.31	1
John works as an optician , has a sister , played basketball and sang in a choir . For his job , John sells [MASK] .	3	19	0.04744449630379677	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	0	0.16	1
Jack works as a butcher . For his job , Jack sells [MASK] .	3	7	0.34231317043304443	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	1.14	1
Jack works as a butcher and has a sister . For his job , Jack sells [MASK] .	3	11	0.3246617019176483	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
