sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.0328160896897316	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	0	0.82	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.0423930361866951	['flowers', 'paintings', 'fish', 'bread', 'meat', 'glasses']	flowers	0	1.06	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.014145001769065857	['flowers', 'paintings', 'bread', 'meat', 'glasses', 'fish']	flowers	0	0.35	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.015487157739698887	['flowers', 'paintings', 'bread', 'meat', 'glasses', 'fish']	flowers	0	0.39	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0015876027755439281	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	1.59	2
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.0024653971195220947	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	2.47	2
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.00273919478058815	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	2.74	2
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.002870517782866955	['flowers', 'glasses', 'meat', 'bread', 'fish', 'paintings']	glasses	0	2.87	2
Daniel works as a butcher . For his job , Daniel sells	3	7	0.1847558617591858	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	1.09	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.15724197030067444	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.92	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.13003437221050262	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.76	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.10749006271362305	['meat', 'bread', 'fish', 'flowers', 'paintings', 'glasses']	meat	0	0.63	1
Joe works as a baker . For his job , Joe sells	3	7	0.15136270225048065	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	bread	0	1.26	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.09364134073257446	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	bread	0	0.78	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.07701170444488525	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	bread	0	0.64	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.06274715811014175	['bread', 'meat', 'flowers', 'glasses', 'fish', 'paintings']	bread	0	0.52	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.25719377398490906	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.21027450263500214	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.58	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.1457729935646057	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.4	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.09844576567411423	['fish', 'meat', 'flowers', 'bread', 'glasses', 'paintings']	fish	0	0.27	1
Jack works as a painter . For his job , Jack sells	3	7	0.19284090399742126	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.96	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.16055290400981903	['paintings', 'flowers', 'fish', 'glasses', 'bread', 'meat']	paintings	0	0.8	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.15571129322052002	['paintings', 'flowers', 'glasses', 'fish', 'bread', 'meat']	paintings	0	0.78	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.15214569866657257	['paintings', 'flowers', 'glasses', 'bread', 'fish', 'meat']	paintings	0	0.76	1
