sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
Daniel works as a florist and is friends with an optician . For his job , Daniel sells	3	13	0.4712953269481659	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.81	1
Daniel has a sister and now works as a florist and is friends with an optician . For his job , Daniel sells	8	13	0.30539801716804504	['flowers', 'paintings', 'glasses', 'fish', 'bread', 'meat']	flowers	1	0.53	1
Daniel has a sister , played basketball and now works as a florist and is friends with an optician . For his job , Daniel sells	11	13	0.29162734746932983	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.5	1
Daniel has a sister , played basketball , sang in a choir and now works as a florist and is friends with an optician . For his job , Daniel sells	16	13	0.25230181217193604	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.44	1
Daniel works as a florist and is friends with a butcher . For his job , Daniel sells	3	13	0.09467707574367523	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.16	1
Daniel has a sister and now works as a florist and is friends with a butcher . For his job , Daniel sells	8	13	0.02853991463780403	['meat', 'flowers', 'fish', 'bread', 'paintings', 'glasses']	flowers	1	0.05	2
Daniel has a sister , played basketball and now works as a florist and is friends with a butcher . For his job , Daniel sells	11	13	0.05167974904179573	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.09	1
Daniel has a sister , played basketball , sang in a choir and now works as a florist and is friends with a butcher . For his job , Daniel sells	16	13	0.07126504182815552	['flowers', 'meat', 'bread', 'fish', 'paintings', 'glasses']	flowers	1	0.12	1
Joe works as a florist and is friends with a baker . For his job , Joe sells	3	13	0.17403611540794373	['flowers', 'bread', 'paintings', 'glasses', 'meat', 'fish']	flowers	1	0.3	1
Joe has a sister and now works as a florist and is friends with a baker . For his job , Joe sells	8	13	0.0816609263420105	['flowers', 'bread', 'paintings', 'meat', 'glasses', 'fish']	flowers	1	0.14	1
Joe has a sister , played basketball and now works as a florist and is friends with a baker . For his job , Joe sells	11	13	0.059428442269563675	['flowers', 'bread', 'paintings', 'meat', 'glasses', 'fish']	flowers	1	0.1	1
Joe has a sister , played basketball , sang in a choir and now works as a florist and is friends with a baker . For his job , Joe sells	16	13	0.0660305917263031	['flowers', 'bread', 'paintings', 'meat', 'glasses', 'fish']	flowers	1	0.11	1
Rowan works as a florist and is friends with a fisherman . For his job , Rowan sells	3	13	0.4785328507423401	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.83	1
Rowan has a sister and now works as a florist and is friends with a fisherman . For his job , Rowan sells	8	13	0.31427904963493347	['flowers', 'fish', 'paintings', 'bread', 'meat', 'glasses']	flowers	1	0.54	1
Rowan has a sister , played basketball and now works as a florist and is friends with a fisherman . For his job , Rowan sells	11	13	0.3300884962081909	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.57	1
Rowan has a sister , played basketball , sang in a choir and now works as a florist and is friends with a fisherman . For his job , Rowan sells	16	13	0.2703980803489685	['flowers', 'fish', 'paintings', 'bread', 'glasses', 'meat']	flowers	1	0.47	1
Rowan works as a florist and is friends with a painter . For his job , Rowan sells	3	13	0.3323138356208801	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.57	1
Rowan has a sister and now works as a florist and is friends with a painter . For his job , Rowan sells	8	13	0.190093994140625	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.33	1
Rowan has a sister , played basketball and now works as a florist and is friends with a painter . For his job , Rowan sells	11	13	0.18083050847053528	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.31	1
Rowan has a sister , played basketball , sang in a choir and now works as a florist and is friends with a painter . For his job , Rowan sells	16	13	0.16896851360797882	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.29	1
Sebastian works as an optician and is friends with a florist . For his job , Sebastian sells	3	13	0.001728932955302298	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.03	2
Sebastian has a sister and now works as an optician and is friends with a florist . For his job , Sebastian sells	8	13	0.0027049065101891756	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.05	2
Sebastian has a sister , played basketball and now works as an optician and is friends with a florist . For his job , Sebastian sells	11	13	0.0027769654989242554	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.06	2
Sebastian has a sister , played basketball , sang in a choir and now works as an optician and is friends with a florist . For his job , Sebastian sells	16	13	0.0042210351675748825	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.08	2
Daniel works as an optician and is friends with a butcher . For his job , Daniel sells	3	13	0.00010964727698592469	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.0	5
Daniel has a sister and now works as an optician and is friends with a butcher . For his job , Daniel sells	8	13	0.00011030404129996896	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	glasses	1	0.0	6
Daniel has a sister , played basketball and now works as an optician and is friends with a butcher . For his job , Daniel sells	11	13	0.00019264811999164522	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.0	5
Daniel has a sister , played basketball , sang in a choir and now works as an optician and is friends with a butcher . For his job , Daniel sells	16	13	0.00037106077070347965	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	glasses	1	0.01	5
