sentence	distance_from_beginning	distance_from_masked_token	target_prob	ordered_items	target_occupation	count_attractors	relative_prob	relative_rank
Daniel works as a florist . For his job , Daniel sells	3	7	0.5903014540672302	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	1.02	1
Daniel has a sister and now works as a florist . For his job , Daniel sells	8	7	0.463642418384552	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.8	1
Daniel has a sister , played basketball , and now works as a florist . For his job , Daniel sells	12	7	0.40067097544670105	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	0	0.69	1
Daniel has a sister , played basketball , sang in a choir , and now works as a florist . For his job , Daniel sells	17	7	0.36656540632247925	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	0	0.63	1
Sebastian works as an optician . For his job , Sebastian sells	3	7	0.0314304381608963	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.63	1
Sebastian has a sister and now works as an optician . For his job , Sebastian sells	8	7	0.019040469080209732	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.38	1
Sebastian has a sister , played basketball , and now works as an optician . For his job , Sebastian sells	12	7	0.02650252729654312	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.53	1
Sebastian has a sister , played basketball , sang in a choir , and now works as an optician . For his job , Sebastian sells	17	7	0.03551461920142174	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	0	0.71	1
Daniel works as a butcher . For his job , Daniel sells	3	7	0.21611258387565613	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	1.08	1
Daniel has a sister and now works as a butcher . For his job , Daniel sells	8	7	0.14804278314113617	['meat', 'fish', 'bread', 'flowers', 'paintings', 'glasses']	meat	0	0.74	1
Daniel has a sister , played basketball , and now works as a butcher . For his job , Daniel sells	12	7	0.1544741690158844	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.77	1
Daniel has a sister , played basketball , sang in a choir , and now works as a butcher . For his job , Daniel sells	17	7	0.16741198301315308	['meat', 'fish', 'bread', 'flowers', 'glasses', 'paintings']	meat	0	0.84	1
Joe works as a baker . For his job , Joe sells	3	7	0.06060989201068878	['bread', 'flowers', 'meat', 'glasses', 'fish', 'paintings']	bread	0	0.76	1
Joe has a sister and now works as a baker . For his job , Joe sells	8	7	0.04152728244662285	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.52	1
Joe has a sister , played basketball , and now works as a baker . For his job , Joe sells	12	7	0.046213991940021515	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.58	1
Joe has a sister , played basketball , sang in a choir , and now works as a baker . For his job , Joe sells	17	7	0.049835436046123505	['bread', 'flowers', 'meat', 'fish', 'glasses', 'paintings']	bread	0	0.62	1
Rowan works as a fisherman . For his job , Rowan sells	3	7	0.12029523402452469	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.71	1
Rowan has a sister and now works as a fisherman . For his job , Rowan sells	8	7	0.14163024723529816	['fish', 'meat', 'bread', 'flowers', 'glasses', 'paintings']	fish	0	0.83	1
Rowan has a sister , played basketball , and now works as a fisherman . For his job , Rowan sells	12	7	0.10758323967456818	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.63	1
Rowan has a sister , played basketball , sang in a choir , and now works as a fisherman . For his job , Rowan sells	17	7	0.10818525403738022	['fish', 'meat', 'bread', 'glasses', 'flowers', 'paintings']	fish	0	0.64	1
Jack works as a painter . For his job , Jack sells	3	7	0.11287693679332733	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.25	1
Jack has a sister and now works as a painter . For his job , Jack sells	8	7	0.1137261688709259	['paintings', 'flowers', 'fish', 'meat', 'glasses', 'bread']	paintings	0	1.26	1
Jack has a sister , played basketball , and now works as a painter . For his job , Jack sells	12	7	0.1070297360420227	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.19	1
Jack has a sister , played basketball , sang in a choir , and now works as a painter . For his job , Jack sells	17	7	0.08984676003456116	['paintings', 'flowers', 'fish', 'glasses', 'meat', 'bread']	paintings	0	1.0	1
Jake works as a florist and writes poetry . For his job , Jake sells	3	10	0.267844557762146	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.46	1
Jake has a sister and now works as a works as a florist and writes poetry . For his job , Jake sells	11	10	0.26687881350517273	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.46	1
Jake has a sister , sang in a choir and now works as a florist and writes poetry . For his job , Jake sells	13	10	0.20484423637390137	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.35	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and writes poetry . For his job , Jake sells	18	10	0.25777027010917664	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.44	1
Jake works as a florist and drives a car . For his job , Jake sells	3	11	0.5604144334793091	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.97	1
Jake has a sister and now works as a works as a florist and drives a car . For his job , Jake sells	11	11	0.46393242478370667	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.8	1
Jake has a sister , sang in a choir and now works as a florist and drives a car . For his job , Jake sells	13	11	0.26066380739212036	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.45	1
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist and drives a car . For his job , Jake sells	18	11	0.2732087969779968	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.47	1
Daniel works as a florist and slept late last week . For his job , Daniel sells	3	12	0.5302286744117737	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.91	1
Daniel has a sister and now works as a works as a florist and slept late last week . For his job , Daniel sells	11	12	0.41239017248153687	['flowers', 'paintings', 'bread', 'glasses', 'fish', 'meat']	flowers	1	0.71	1
Daniel has a sister , sang in a choir and now works as a florist and slept late last week . For his job , Daniel sells	13	12	0.24477115273475647	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.42	1
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a florist and slept late last week . For his job , Daniel sells	18	12	0.27917245030403137	['flowers', 'paintings', 'glasses', 'bread', 'fish', 'meat']	flowers	1	0.48	1
Joe works as a florist and sits by the lake . For his job , Joe sells	3	12	0.5746747851371765	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.99	1
Joe has a sister and now works as a works as a florist and sits by the lake . For his job , Joe sells	11	12	0.42324298620224	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.73	1
Joe has a sister , sang in a choir and now works as a florist and sits by the lake . For his job , Joe sells	13	12	0.20536847412586212	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.35	1
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a florist and sits by the lake . For his job , Joe sells	18	12	0.26703009009361267	['flowers', 'paintings', 'fish', 'bread', 'glasses', 'meat']	flowers	1	0.46	1
John works as a florist and has a pet snake . For his job , John sells	3	12	0.41383427381515503	['flowers', 'paintings', 'bread', 'fish', 'meat', 'glasses']	flowers	1	0.71	1
John has a sister and now works as a works as a florist and has a pet snake . For his job , John sells	11	12	0.33869820833206177	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.58	1
John has a sister , sang in a choir and now works as a florist and has a pet snake . For his job , John sells	13	12	0.18864460289478302	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.33	1
John has a sister , sang in a choir , fell down on Tuesday and now works as a florist and has a pet snake . For his job , John sells	18	12	0.2395814210176468	['flowers', 'paintings', 'bread', 'fish', 'glasses', 'meat']	flowers	1	0.41	1
John works as an optician and writes poetry . For his job , John sells	3	10	0.0110407005995512	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.22	1
John has a sister and now works as a works as an optician and writes poetry . For his job , John sells	11	10	0.008687547408044338	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.17	1
John has a sister , sang in a choir and now works as an optician and writes poetry . For his job , John sells	13	10	0.006951544899493456	['flowers', 'glasses', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.14	2
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and writes poetry . For his job , John sells	18	10	0.01396066602319479	['glasses', 'flowers', 'paintings', 'fish', 'bread', 'meat']	glasses	1	0.28	1
John works as an optician and drives a car . For his job , John sells	3	11	0.02326742559671402	['glasses', 'flowers', 'fish', 'paintings', 'meat', 'bread']	glasses	1	0.47	1
John has a sister and now works as a works as an optician and drives a car . For his job , John sells	11	11	0.010417098179459572	['glasses', 'flowers', 'paintings', 'fish', 'meat', 'bread']	glasses	1	0.21	1
John has a sister , sang in a choir and now works as an optician and drives a car . For his job , John sells	13	11	0.00776824913918972	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	glasses	1	0.16	1
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and drives a car . For his job , John sells	18	11	0.012858315370976925	['glasses', 'flowers', 'fish', 'paintings', 'bread', 'meat']	glasses	1	0.26	1
Daniel works as an optician and slept late last week . For his job , Daniel sells	3	12	0.08283357322216034	['glasses', 'fish', 'flowers', 'paintings', 'meat', 'bread']	glasses	1	1.66	1
